 17082008 12    3 0100051 1 39.57*****  5.75* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100052 1 37.45*****  5.63* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100053 1 36.40*****  5.08* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100054 1 38.59***** ****** 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100055 1 35.92*****  5.18* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100056 1 36.43*****  5.16* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100057 1 31.66*****  4.08* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100058 1 37.15*****  5.07* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100059 1 35.55*****  5.01* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100060 1 34.55*****  5.04* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100061 1 30.87*****  4.52* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100062 1 36.09*****  5.28* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100063 1 35.55*****  5.11* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100064 1 36.85*****  5.20* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100065 1 38.59*****  5.42* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100066 1 37.63*****  5.17* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100067 1 34.41*****  4.79* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100068 1 36.52*****  5.57* 1 ** **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100069 2 49.3024.17 ****** 1  3 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100070 2 47.2723.43 ****** 1  3 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100071 2 46.0622.80 ****** 1  3 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
 17082008 12    3 0100072 2 50.6825.84 ****** 1  3 **00000000 ********** LL 04807122 06353556  42 **** ****       J. CHIASSON/S. ALBERT ***** *                
