 22092008 19    3 0100056 1 28.34*****  3.80* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100057 1 34.76*****  3.75* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100058 1 32.31*****  4.88* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100059 1 23.68*****  2.88* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100060 1 30.39*****  4.23* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100061 1 30.37*****  3.91* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100062 1 32.43*****  4.30* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100063 1 32.89*****  4.55* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100064 1 28.76*****  4.18* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100065 1 32.68*****  4.43* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100066 1 29.27*****  4.04* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100067 1 37.66*****  5.15* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100068 1 28.67*****  3.70* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100069 1 25.23*****  3.22* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100070 1 25.40*****  3.16* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100071 1 29.62*****  3.78* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100072 1 28.37*****  4.02* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100073 1 27.45*****  3.45* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100074 1 23.61*****  2.79* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100075 1 29.89*****  3.86* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100076 1 28.74*****  3.98* 1 ** **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100077 2 39.8717.99 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100078 2 32.8913.99 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
 22092008 19    3 0100079 2 28.4211.05 ****** 1  1 **00000000 ********** LL 04654337 06114115  34 **** ****       J.CHIASSON/S.ALBERT   ***** *                
