year	month	day	tow no	tow.id	Time.Logbook	loranx.logbook	lorany.logbook	door spread
1988	8	17	3	043		14956.9	30420.9	NA
1988	8	17	4	044	17:30	14945.8	30326.0	NA
1988	8	17	4	044		14946.9	30330.1	NA
1988	8	17	5	045	19:40	14948.7	30314.6	NA
1988	8	17	5	045		14949.5	30319.2	NA
1988	8	17	6	046	20:00	14922.8	30236.3	NA
1988	8	17	6	046		14923.9	30237.2	NA
1988	8	18	1	047	6:30	15082.5	30584.8	NA
1988	8	18	1	047		15081.6	30584.0	NA
1988	8	18	2	048	8:00	15092.4	30665.3	NA
1988	8	18	2	048		15091.3	30665.3	NA
1988	8	18	3	049	9:45	15096.8	30728.5	NA
1988	8	18	3	049		15097.8	30729.7	NA
1988	8	18	4	050	12:00	15094.5	30591.0	NA
1988	8	18	4	050		15093.4	30589.0	NA
1988	8	18	5	051	13:15	NA	NA	NA
1988	8	19	1	052	8:25	15098.7	30455.7	NA
1988	8	19	1	052		15097.5	30451.7	NA
1988	8	20	1	053	8:00	15079.6	30705.0	NA
1988	8	20	1	053		15079.9	30700.2	NA
1988	8	20	2	054	9:15	15084.4	30760.5	NA
1988	8	20	2	054		15084.4	30757.2	NA
1988	8	20	3	055	10:20	15101.8	30833.5	NA
1988	8	20	3	055		15101.5	30828.4	NA
1988	8	20	4	056	12:00	15086.7	30862.3	NA
1988	8	20	4	056		15085.5	30862.5	NA
1988	8	20	5	057	13:30	15105.0	30925.7	NA
1988	8	20	5	057		15104.1	30919.9	NA
1988	8	21	1	058	7:15	15140.6	31194.1	NA
1988	8	21	1	058		15139.2	31194.2	NA
1988	8	21	2	059	9:00	15126.7	31087.4	NA
1988	8	21	2	059		15126.0	31081.1	NA
1988	8	21	3	060	10:15	15111.9	31030.9	NA
1988	8	21	3	060		15110.7	31025.4	NA
1988	8	21	4	061	11:00	15101.3	30988.6	NA
1988	8	21	4	061		15100.4	30983.4	NA
1988	8	21	5	062	16:00	15084.8	30529.3	NA
1988	8	21	5	062		15084.7	30533.7	NA
1988	8	22	1	063	8:20	15094.1	30407.4	NA
1988	8	22	1	063		15093.3	30407.6	NA
1988	8	22	2	064	10:00	15108.9	30408.7	NA
1988	8	22	2	064		15108.2	30408.5	NA
1988	8	22	3	065	12:00	15130.1	30470.0	NA
1988	8	22	3	065		15189.0	30467.8	NA
1988	8	23	1	066	7:30	15014.7	30238.0	NA
1988	8	23	1	066		15014.1	30237.1	NA
1988	8	23	2	067	9:10	15028.4	30180.3	NA
1988	8	23	2	067		15027.2	30175.8	NA
1988	8	23	3	068	9:35	15046.5	30173.8	NA
1988	8	23	3	068		15044.8	30169.9	NA
1988	8	23	4	069	13:00	15004.3	29962.0	NA
1988	8	23	4	069		15007.4	29963.6	NA
1988	8	23	5	070	15:00	14969.9	29828.4	NA
1988	8	23	5	070		14969.8	29833.7	NA
1988	8	23	6	071	16:00	14974.4	29885.5	NA
1988	8	23	6	071		14974.3	29889.9	NA
1988	8	23	7	072	17:00	14962.1	29882.8	NA
1988	8	23	7	072		14962.4	29885.1	NA
1988	8	23	8	073	18:00	14971.3	29963.4	NA
1988	8	23	8	073		14971.6	29968.9	NA
1988	8	24	1	074	6:30	14896.1	29908.0	NA
1988	8	24	1	074		14895.9	29912.0	NA
1988	8	24	2	075	8:00	14901.6	29980.3	NA
1988	8	24	2	075		14900.5	29981.2	NA
1988	8	24	3	076	9:40	14920.3	30092.2	NA
1988	8	24	3	076		14920.7	30098.5	NA
1988	8	30	1	077	8:30	15068.4	30448.5	NA
1988	8	30	1	077		15068.0	30443.7	NA
1988	8	30	2	078	10:30	15076.4	30303.7	NA
1988	8	30	2	078		15077.0	30300.7	NA
1988	8	30	3	079	12:00	15094.2	30320.6	NA
1988	8	30	3	079		15095.3	30320.5	NA
1988	8	31	1	080	7:00	14941.4	30051.6	NA
1988	8	31	1	080		14950.4	30150.4	NA
1988	8	31	2	081	8:00	14933.0	30144.0	NA
1988	8	31	2	081		14931.5	30142.6	NA
1988	8	31	3	082	9:10	14919.1	30152.3	NA
1988	8	31	3	082		14917.9	30152.2	NA
1988	8	31	4	083	10:00	14907.3	30118.2	NA
1988	8	31	4	083		14905.7	30112.3	NA
1988	8	31	5	084	11:20	14885.4	30019.7	NA
1988	8	31	5	084		14884.0	30016.0	NA
1988	8	31	6	085	12:20	14886.2	29946.8	NA
1988	8	31	6	085		14885.2	29943.4	NA
1988	8	31	7	086	13:15	14881.7	29919.0	NA
1988	8	31	7	086		14880.7	29915.9	NA
1988	8	31	8	087	14:10	14871.3	29869.5	NA
1988	8	31	8	087		14869.8	29867.9	NA
1988	8	31	9	088	15:30	14876.9	29839.3	NA
1988	8	31	9	088		14874.7	29837.6	NA
1988	8	31	10	089	17:00	14865.7	29749.0	NA
1988	8	31	10	089		14864.1	29746.7	NA
1988	8	31	11	090	17:45	14858.2	29699.3	NA
1988	8	31	11	090		14856.7	29697.0	NA
1988	8	31	12	091	19:00	14836.8	29696.2	NA
1988	8	31	12	091		14835.0	29694.0	NA
1988	8	31	13	092	19:45	14827.4	29742.4	NA
1988	8	31	13	092		14826.8	29739.2	NA
1988	9	1	1	093	6:15	14821.9	29623.0	NA
1988	9	1	1	093		14822.0	29618.1	NA
1988	9	1	2	094	7:40	14825.1	29627.0	NA
1988	9	1	2	094		14824.8	29621.9	NA
1988	9	1	3	095	8:40	14815.0	29745.1	NA
1988	9	1	3	095		14813.0	29741.1	NA
1988	9	1	4	096	10:45	14815.0	29745.1	NA
1988	9	1	4	096		14813.0	29741.1	NA
1988	9	1	5	097	12:30	14802.4	29725.2	NA
1988	9	1	5	097		14800.5	29722.8	NA
1988	9	1	6	098	14:00	14783.8	29642.6	NA
1988	9	1	6	098		14782.8	29640.4	NA
1988	9	2	1	099	11:10	14596.2	29468.8	NA
1988	9	2	1	099		14595.9	29463.8	NA
1988	9	2	2	100	12:45	14576.2	29335.1	NA
1988	9	2	2	100		14577.6	29331.9	NA
1988	9	3	1	101	8:30	14575.9	29265.7	NA
1988	9	3	1	101		14574.5	29261.7	NA
1988	9	4	1	102	10:45	14573.5	29261.1	NA
1988	9	4	1	102		14571.8	29257.5	NA
1988	9	4	2	103	12:00	14552.1	29301.8	NA
1988	9	4	2	103		14550.8	29297.8	NA
1988	9	4	3	104	12:45	14550.2	29347.8	NA
1988	9	4	3	104		14548.9	29344.0	NA
1988	9	4	4	105	14:15	14556.1	29446.8	NA
1988	9	4	4	105		14555.0	29441.2	NA
1988	9	4	5	106	15:30	14589.9	29520.7	NA
1988	9	4	5	106		14588.5	29516.7	NA
1988	9	4	6	107	16:15	14601.5	29517.9	NA
1988	9	4	6	107		14600.6	29514.4	NA
1988	9	4	7	108	16:35	14600.2	29514.5	NA
1988	9	4	7	108		14600.7	29512.0	NA
1988	9	17	1	109	7:00	14596.6	29599.9	NA
1988	9	17	1	109		14595.0	29599.2	NA
1988	9	17	2	110	8:10	14615.5	25626.4	NA
1988	9	17	2	110		14613.8	29625.5	NA
1988	9	17	3	111	9:20	14627.7	29685.5	NA
1988	9	17	3	111		14626.0	29684.4	
1988	9	17	4	112	NA	14614.6	29602.3	NA
1988	9	17	4	112		14613.0	29603.1	
1988	9	17	5	113	11:20	14622.9	29778.3	NA
1988	9	17	5	113		14621.0	29777.5	
1988	9	17	6	114	12:20	14639.8	29811.2	NA
1988	9	17	6	114		14638.4	29810.7	
1988	9	18	1	115	9:00	14647.6	29849.6	NA
1988	9	18	1	115		14646.4	29851.0	
1988	9	18	2	116	9:50	14657.8	29887.6	NA
1988	9	18	2	116		14656.3	29885.8	
1988	9	18	3	117	11:00	14640.5	29903.7	NA
1988	9	18	3	117		14638.5	29902.5	
1988	9	18	4	118	12:15	14649.9	29949.4	NA
1988	9	18	4	118		14647.9	29944.0	
1988	9	18	5	119	15:00	14701.4	30070.3	NA
1988	9	18	5	119		14701.1	30073.0	
1988	9	19	1	120	7:00	14890.2	30188.5	NA
1988	9	19	1	120		14891.9	30191.6	
1988	9	19	2	121	8:00	14905.3	30264.7	NA
1988	9	19	2	121		14906.9	30267.4	
1988	9	19	3	122	9:00	14907.4	30330.4	NA
1988	9	19	3	122		14908.7	30332.7	
1988	9	19	4	123	10:20	14913.2	30399.5	NA
1988	9	19	4	123		14914.3	30401.0	
1988	9	19	5	124	NA	14946.3	30500.7	NA
1988	9	19	5	124		14947.0	30501.7	
1988	9	26	1	125	13:30	14920.0	30570.7	NA
1988	9	26	1	125		14920.0	30567.3	
1988	9	26	2	126	15:15	14880.2	30484.7	NA
1988	9	26	2	126		14881.2	30486.2	
1988	9	26	3	127	16:00	14864.9	30470.2	NA
1988	9	26	3	127		14864.9	30468.3	
1988	9	27	1	128	8:45	14737.6	30409.5	NA
1988	9	27	1	128		14735.8	30408.1	
1988	9	27	2	129	10:35	14790.1	30391.2	NA
1988	9	27	2	129		14789.0	30388.0	
1988	9	27	3	130	12:00	14766.5	30318.8	NA
1988	9	27	3	130		14764.9	30314.7	
1988	9	27	4	131	13:00	14741.2	30330.3	NA
1988	9	27	4	131		14739.7	30328.0	
1988	10	3	1	132	18:00	15034.8	30572.2	NA
1988	10	3	1	132		15034.4	30570.1	
1988	10	3	2	133	18:45	15024.8	30579.8	NA
1988	10	3	2	133		15023.5	30576.7	
1988	10	4	1	134	7:00	14857.8	30342.1	NA
1988	10	4	1	134		14855.8	30340.8	
1988	10	4	2	135	9:45	14876.9	30521.3	NA
1988	10	4	2	135		14875.7	30522.0	
1988	10	4	3	136	10:45	14887.4	30601.1	NA
1988	10	4	3	136		14885.3	30601.3	
1988	10	4	4	137	12:45	14930.2	30592.3	NA
1988	10	4	4	137		14928.5	30594.0	
1988	10	4	5	138	13:40	14944.4	30592.1	NA
1988	10	4	5	138		14943.0	30595.5	
1988	10	7	1	139	14:15	14845.5	30369.1	NA
1988	10	7	1	139		14843.7	30366.3	
1988	10	7	2	140	15:25	14833.9	30297.4	NA
1988	10	7	2	140		14831.8	30295.7	
1988	10	7	3	141	16:15	14840.9	30280.6	NA
1988	10	7	3	141		14838.6	30277.4	
1988	10	7	4	142	17:00	14833.6	30230.7	NA
1988	10	7	4	142		14831.9	30227.3	
1988	10	7	5	143	18:00	14815.8	30191.8	NA
1988	10	7	5	143		14813.8	30190.1	
1988	10	7	6	144	18:45	14812.5	30189.7	NA
1988	10	7	6	144		14811.1	30187.6	
1988	10	8	1	145	7:30	14844.9	30138.6	NA
1988	10	8	1	145		14845.2	30138.1	
1988	10	8	2	146	8:20	14853.7	30126.0	NA
1988	10	8	2	146		14852.2	30126.4	
1988	10	8	3	147	9:25	14850.1	30060.0	NA
1988	10	8	3	147		14848.9	30060.7	
1988	10	8	4	148	10:00	14848.4	30061.2	NA
1988	10	8	4	148		14847.8	30061.5	
1988	10	8	5	149	11:00	14833.5	30057.9	NA
1988	10	8	5	149		14832.9	30060.2	
1988	10	8	6	150	13:30	14804.6	29819.4	NA
1988	10	8	6	150		14803.6	29820.6	
1988	10	8	7	151	14:30	14787.9	29821.5	NA
1988	10	8	7	151		14786.5	29823.1	
1988	10	8	8	152	15:10	14776.0	29779.2	NA
1988	10	8	8	152		14774.7	29780.4	
1988	10	8	9	153	16:10	14765.8	29724.7	NA
1988	10	8	9	153		14764.7	29726.1	
1988	10	12	1	154	7:45	14669.5	29609.2	NA
1988	10	12	1	154		14668.9	29604.1	
1988	10	12	2	155	9:20	14683.5	29722.3	NA
1988	10	12	2	155		14683.1	29717.9	
1988	10	12	3	156	10:10	14687.5	29766.3	NA
1988	10	12	3	156		14687.1	29760.7	
1988	10	13	1	157	11:55	14710.6	29736.0	NA
1988	10	13	1	157		14710.0	29731.2	
1988	10	13	2	158	12:50	14716.6	29781.0	NA
1988	10	13	2	158		14716.5	29777.4	
1988	10	13	3	159	14:00	14727.9	29847.5	NA
1988	10	13	3	159		14727.7	29843.4	
1988	10	13	4	160	14:35	14718.8	29843.2	NA
1988	10	13	4	160		14718.9	29839.3	
1988	10	15	1	161	7:00	14518.3	29297.0	NA
1988	10	15	1	161		14517.7	29290.8	
1988	10	15	2	162	8:10	14519.3	29361.4	NA
1988	10	15	2	162		14518.1	29356.9	
1988	10	15	3	163	9:10	14526.4	29427.5	NA
1988	10	15	3	163		14526.2	29424.7	
1988	10	16	1	164	15:30	14733.7	29924.2	NA
1988	10	16	1	164		14732.6	29921.5	
1988	10	16	2	165	16:00	14740.4	29925.4	NA
1988	10	16	2	165		14739.0	29922.2	
1988	10	16	3	166	17:10	14743.6	30020.0	NA
1988	10	16	3	166		14742.6	30016.6	
1988	10	16	4	167	18:00	14758.9	30030.7	NA
1988	10	16	4	167		14760.3	30033.8	
1988	10	16	5	168	19:20	14772.8	30103.7	NA
1988	10	16	5	168		14773.6	30108.5	
1988	10	17	1	169	7:35	14755.0	30132.3	NA
1988	10	17	1	169		14755.0	30135.1	
1988	10	17	2	170	10:00	14715.7	30142.8	NA
1988	10	17	2	170		14716.7	30140.6	
1988	10	17	3	171	10:45	14719.0	30180.0	NA
1988	10	17	3	171		14720.4	30181.2	
1988	10	17	4	172	11:40	14742.0	30175.6	NA
1988	10	17	4	172		14743.2	30176.2	
1988	10	31	5	173	11:00	15094.0	30830.7	NA
1988	10	31	5	173		15093.6	30824.5	
1988	10	31	8	174	NA	15091.6	30809.2	NA
1988	10	31	8	174		15090.2	30802.7	
1988	11	1	4	175	10:00	15087.6	30786.5	NA
1988	11	1	4	175		15085.9	30779.7	
1988	11	7	3	176	10:50	15088.9	30780.4	4.3
1988	11	7	3	176	10:51	15088.9	30780.3	5.2
1988	11	7	3	176	10:52	15088.9	30780.0	4.9
1988	11	7	3	176	10:53	15088.9	30779.6	6.1
1988	11	7	3	176	10:54	15088.9	30779.6	5.3
1988	11	7	3	176	10:55	15088.9	30778.6	4.5
1988	10	31	1	177	7:55	15098.1	30855.9	NA
1988	10	31	1	177		15097.3	30849.5	
1988	10	31	2	178	8:30	15096.6	30843.4	NA
1988	10	31	2	178		15095.9	30837.2	
1988	10	31	3	179	9:45	15096.0	30842.0	NA
1988	10	31	3	179		15095.2	30834.9	
1988	10	31	4	180	10:20	15094.3	30837.6	NA
1988	10	31	4	180		15093.2	30830.5	
1988	10	31	6	181	11:20	15093.5	30822.7	NA
1988	10	31	6	181		15093.2	30815.2	
1988	10	31	7	182	11:55	15092.3	30819.0	NA
1988	10	31	7	182		15091.8	30812.0	
1988	11	1	1	183	8:38	15090.4	30805.3	NA
1988	11	1	1	183		15089.9	30799.5	
1988	11	1	2	184	9:00	15089.6	30797.9	NA
1988	11	1	2	184		15090.2	30794.7	
1988	11	1	3	185	9:30	15088.8	30790.5	NA
1988	11	1	3	185		15088.1	30783.7	
1988	11	1	5	186	11:00	15087.0	30781.0	NA
1988	11	1	5	186		15086.4	30775.1	
1988	11	1	6	187	11:15	15086.2	30773.6	NA
1988	11	1	6	187		15085.2	30767.1	
1988	11	1	7	188	11:30	15085.1	30765.1	NA
1988	11	1	7	188		15083.6	30759.4	
1988	11	1	8	189	12:00	15083.5	30761.4	NA
1988	11	1	8	189		15082.6	30754.1	
1988	11	1	9	190	12:40	15082.6	30755.0	NA
1988	11	1	9	190		15082.2	30749.6	
1988	11	1	10	191	13:10	15082.5	30750.2	NA
1988	11	1	10	191		15082.1	30744.4	
1988	11	1	11	192	13:40	15081.7	30741.1	NA
1988	11	1	11	192		15080.9	30734.6	
1988	11	1	12	193	14:20	15080.1	30737.9	NA
1988	11	1	12	193		15079.5	30732.3	
1988	11	5	1	194	9:29	15103.7	30778.4	3.8
1988	11	5	1	194	9:30	15103.5	30778.5	4.8
1988	11	5	1	194	9:31	15103.4	30778.8	5.1
1988	11	5	1	194	9:32	15103.3	30778.8	5.6
1988	11	5	1	194	9:33	15103.2	30778.7	5.6
1988	11	5	1	194	9:34	15103.0	30778.7	5.6
1988	11	5	2	195	9:50	15102.6	30778.1	4.3
1988	11	5	2	195	9:51	15102.4	30778.2	4.6
1988	11	5	2	195	9:52	15102.3	30778.3	5.8
1988	11	5	2	195	9:53	15102.1	30778.4	5.5
1988	11	5	2	195	9:54	15102.0	30778.4	5.5
1988	11	5	2	195	9:55	15101.9	30778.5	6.0
1988	11	5	3	196	10:19	15101.4	30778.6	3.8
1988	11	5	3	196	10:20	15101.2	30778.6	8.2
1988	11	5	3	196	10:21	15101.0	30778.6	5.1
1988	11	5	3	196	10:22	15100.9	30778.7	5.9
1988	11	5	3	196	10:23	15100.8	30778.9	7.3
1988	11	5	3	196	10:24	15100.7	30779.2	6.8
1988	11	5	4	197	10:45	15100.1	30779.8	4.0
1988	11	5	4	197	10:46	15100.0	30779.8	4.7
1988	11	5	4	197	10:47	15099.9	30779.8	4.9
1988	11	5	4	197	10:48	15099.7	30779.8	5.5
1988	11	5	4	197	10:49	15099.6	30779.8	4.8
1988	11	5	4	197	10:50	15099.4	30779.8	5.1
1988	11	5	5	198	11:11	15098.7	30779.9	4.4
1988	11	5	5	198	11:12	15098.6	30779.9	5.1
1988	11	5	5	198	11:13	15098.5	30780.0	4.9
1988	11	5	5	198	11:14	15098.4	30780.0	5.2
1988	11	5	5	198	11:15	15098.3	30780.0	4.8
1988	11	5	5	198	11:16	15098.2	30780.0	5.5
1988	11	5	6	199	11:31	15097.3	30779.0	3.3
1988	11	5	6	199	11:32	15097.2	30779.0	4.4
1988	11	5	6	199	11:33	15097.1	30779.0	5.0
1988	11	5	6	199	11:34	15097.0	30779.0	5.1
1988	11	5	6	199	11:35	15096.9	30779.0	5.3
1988	11	5	6	199	11:36	15096.7	30779.0	5.3
1988	11	5	7	200	12:23	15096.3	30781.2	4.3
1988	11	5	7	200	12:24	15096.1	30780.6	5.4
1988	11	5	7	200	12:25	15096.0	30780.2	4.8
1988	11	5	7	200	12:26	15095.9	30780.0	4.9
1988	11	5	7	200	12:27	15095.9	30779.7	4.9
1988	11	5	7	200	12:28	15095.8	30779.2	5.8
1988	11	5	8	201	12:54	15094.6	30778.0	4.2
1988	11	5	8	201	12:55	15094.5	30777.7	5.1
1988	11	5	8	201	12:56	15094.3	30777.5	5.4
1988	11	5	8	201	12:57	15094.1	30777.1	5.5
1988	11	5	8	201	12:58	15094.0	30776.8	5.6
1988	11	5	8	201	12:59	15093.8	30776.3	6.5
1988	11	5	9	202	13:17	15093.2	30775.4	4.1
1988	11	5	9	202	13:18	15093.0	30775.7	5.2
1988	11	5	9	202	13:19	15092.9	30776.2	4.3
1988	11	5	9	202	13:20	15092.9	30776.0	5.4
1988	11	5	9	202	13:21	15092.9	30777.1	5.3
1988	11	5	9	202	13:22	15092.9	30777.4	5.6
1988	11	5	10	203	13:40	15092.3	30777.7	4.0
1988	11	5	10	203	13:41	15092.2	30778.1	4.8
1988	11	5	10	203	13:42	15092.2	30778.4	5.3
1988	11	5	10	203	13:43	15092.1	30778.5	5.8
1988	11	5	10	203	13:44	15091.9	30778.5	6.8
1988	11	5	10	203	13:45	15091.7	30778.2	5.6
1988	11	7	1	204	8:24	15075.4	30809.1	3.6
1988	11	7	1	204	8:25	15075.5	30808.9	7.4
1988	11	7	1	204	8:26	15075.7	30808.7	5.8
1988	11	7	1	204	8:27	15075.9	30808.4	5.6
1988	11	7	1	204	8:28	15075.9	30807.9	5.8
1988	11	7	1	204	8:29	15076.0	30807.8	6.0
1988	11	7	2	205	10:12	15088.1	30780.2	3.3
1988	11	7	2	205	10:13	15088.2	30779.6	3.9
1988	11	7	2	205	10:14	15088.2	30779.2	4.4
1988	11	7	2	205	10:15	15088.3	30778.9	4.5
1988	11	7	2	205	10:16	15088.3	30778.4	5.5
1988	11	7	2	205	10:17	15088.3	30778.2	6.4
1988	11	7	4	206	11:22	15091.2	30782.1	4.2
1988	11	7	4	206	11:23	15091.3	30781.9	3.8
1988	11	7	4	206	11:24	15091.3	30781.7	4.0
1988	11	7	4	206	11:25	15091.4	30781.4	4.1
1988	11	7	4	206	11:26	15091.4	30781.2	5.4
1988	11	7	4	206	11:27	15091.5	30780.9	6.4
1988	11	7	5	207	12:08	15084.7	30781.2	3.6
1988	11	7	5	207	12:09	15084.7	30781.3	4.0
1988	11	7	5	207	12:10	15084.5	30781.2	3.5
1988	11	7	5	207	12:11	15084.4	30781.3	5.1
1988	11	7	5	207	12:12	15084.3	30781.4	7.0
1988	11	7	5	207	12:13	15084.1	30781.4	6.8
1988	11	7	6	208	12:34	15083.3	30780.8	4.0
1988	11	7	6	208	12:35	15083.2	30781.0	5.1
1988	11	7	6	208	12:36	15083.1	30781.1	4.9
1988	11	7	6	208	12:37	15083.0	30781.1	7.0
1988	11	7	6	208	12:38	15082.8	30781.0	7.4
1988	11	7	6	208	12:39	15082.6	30780.9	7.3
1988	11	7	7	209	12:58	15082.2	30782.2	3.4
1988	11	7	7	209	12:59	15082.1	30782.4	4.2
1988	11	7	7	209	13:00	15081.8	30782.0	3.5
1988	11	7	7	209	13:01	15081.7	30781.7	3.3
1988	11	7	7	209	13:02	15081.5	30781.4	3.7
1988	11	7	7	209	13:03	15081.4	30781.1	4.8
1988	11	7	8	210	13:32	15081.4	30783.3	4.7
1988	11	7	8	210	13:33	15081.4	30783.5	3.6
1988	11	7	8	210	13:34	15081.2	30783.0	4.9
1988	11	7	8	210	13:35	15081.0	30782.8	4.8
1988	11	7	8	210	13:36	15080.8	30782.5	5.1
1988	11	7	8	210	13:37	15080.7	30782.1	5.1
1988	11	9	1	211	8:13	15079.2	30775.8	4.3
1988	11	9	1	211	8:14	15079.1	30776.0	3.3
1988	11	9	1	211	8:15	15079.0	30776.6	4.3
1988	11	9	1	211	8:16	15079.0	30777.1	2.6
1988	11	9	1	211	8:17	15078.9	30777.3	4.9
1988	11	9	1	211	8:18	15078.9	30777.5	5.5
1988	11	9	2	212	8:48	15078.2	30776.0	3.7
1988	11	9	2	212	8:49	15078.1	30776.6	7.4
1988	11	9	2	212	8:50	15078.0	30777.1	5.0
1988	11	9	2	212	8:51	15078.0	30777.8	5.1
1988	11	9	2	212	8:52	15078.0	30778.3	4.9
1988	11	9	2	212	8:53	15078.1	30779.0	4.9
1988	11	9	3	213	9:09	15077.5	30778.6	4.1
1988	11	9	3	213	9:10	15077.2	30778.6	3.6
1988	11	9	3	213	9:11	15077.0	30778.4	3.5
1988	11	9	3	213	9:12	15076.9	30778.4	3.7
1988	11	9	3	213	9:13	15076.7	30778.4	3.0
1988	11	9	3	213	9:14	15076.6	30778.4	2.6
1988	11	9	4	214	9:32	15075.9	30777.7	2.5
1988	11	9	4	214	9:33	15075.8	30777.8	5.1
1988	11	9	4	214	9:34	15075.6	30777.9	5.5
1988	11	9	4	214	9:35	15075.5	30778.0	6.4
1988	11	9	4	214	9:36	15075.4	30778.0	5.8
1988	11	9	4	214	9:37	15075.3	30778.1	5.1
1988	11	9	5	215	9:58	15075.1	30778.2	4.2
1988	11	9	5	215	9:59	15075.0	30778.4	4.4
1988	11	9	5	215	10:00	15074.9	30778.6	5.3
1988	11	9	5	215	10:01	15074.6	30778.6	5.4
1988	11	9	5	215	10:02	15074.5	30778.4	7.0
1988	11	9	5	215	10:03	15074.3	30778.4	5.6
1988	11	9	6	216	10:31	15073.8	30777.0	3.6
1988	11	9	6	216	10:32	15072.7	30778.3	3.4
1988	11	9	6	216	10:33	15072.6	30778.5	7.9
1988	11	9	6	216	10:34	15072.4	30778.5	6.3
1988	11	9	6	216	10:35	15072.3	30778.4	4.9
1988	11	9	6	216	10:36	15072.2	30778.3	5.0
1988	11	9	7	217	11:07	15071.5	30777.8	5.4
1988	11	9	7	217	11:08	15071.3	30777.6	4.2
1988	11	9	7	217	11:09	15071.1	30777.5	5.4
1988	11	9	7	217	11:10	15071.0	30777.4	5.5
1988	11	9	7	217	11:11	15070.8	30777.3	5.8
1988	11	9	7	217	11:12	15070.6	30777.1	5.7
1988	11	9	8	218	11:44	15069.8	30775.1	3.8
1988	11	9	8	218	11:45	15069.1	30775.1	3.6
1988	11	9	8	218	11:46	15068.9	30775.2	5.2
1988	11	9	8	218	11:47	15068.7	30775.4	4.2
1988	11	9	8	218	11:48	15068.6	30775.5	3.6
1988	11	9	8	218	11:49	15068.4	30775.6	5.6
1988	11	13	1	219	8:21	15068.2	30623.5	3.2
