year	month	day	tow.id	tow.number	measurement	value	observation.number	
1988	11	5	198	5	wingspread	5.2	4	
1988	11	5	198	5	wingspread	4.8	5	
1988	11	5	198	5	wingspread	5.5	6	
1988	11	5	199	6	wingspread	3.3	1	
1988	11	5	199	6	wingspread	4.4	2	
1988	11	5	199	6	wingspread	5.0	3	
1988	11	5	199	6	wingspread	5.1	4	
1988	11	5	199	6	wingspread	5.3	5	
1988	11	5	199	6	wingspread	5.3	6	
1988	11	5	200	7	wingspread	4.3	1	
1988	11	5	200	7	wingspread	5.4	2	
1988	11	5	200	7	wingspread	4.8	3	
1988	11	5	200	7	wingspread	4.9	4	
1988	11	5	200	7	wingspread	4.9	5	
1988	11	5	200	7	wingspread	5.8	6	
1988	11	5	201	8	wingspread	4.2	1	
1988	11	5	201	8	wingspread	5.1	2	
1988	11	5	201	8	wingspread	5.4	3	
1988	11	5	201	8	wingspread	5.5	4	
1988	11	5	201	8	wingspread	5.6	5	
1988	11	5	201	8	wingspread	6.5	6	
1988	11	5	202	9	wingspread	4.1	1	
1988	11	5	202	9	wingspread	5.2	2	
1988	11	5	202	9	wingspread	4.3	3	
1988	11	5	202	9	wingspread	5.4	4	
1988	11	5	202	9	wingspread	5.3	5	
1988	11	5	202	9	wingspread	5.6	6	
1988	11	5	203	10	wingspread	4.0	1	
1988	11	5	203	10	wingspread	4.8	2	
1988	11	5	203	10	wingspread	5.3	3	
1988	11	5	203	10	wingspread	5.8	4	
1988	11	5	203	10	wingspread	6.8	5	
1988	11	5	203	10	wingspread	5.6	6	
1988	11	7	204	1	wingspread	3.6	1	
1988	11	7	204	1	wingspread	7.4	2	
1988	11	7	204	1	wingspread	5.8	3	
1988	11	7	204	1	wingspread	5.6	4	
1988	11	7	204	1	wingspread	5.8	5	
1988	11	7	204	1	wingspread	6.0	6	
1988	11	7	205	2	wingspread	3.3	1	
1988	11	7	205	2	wingspread	3.9	2	
1988	11	7	205	2	wingspread	4.4	3	
1988	11	7	205	2	wingspread	4.5	4	
1988	11	7	205	2	wingspread	5.5	5	
1988	11	7	205	2	wingspread	6.4	6	
1988	11	7	206	4	wingspread	4.2	1	
1988	11	7	206	4	wingspread	3.8	2	
1988	11	7	206	4	wingspread	4.0	3	
1988	11	7	206	4	wingspread	4.1	4	
1988	11	7	206	4	wingspread	5.4	5	
1988	11	7	206	4	wingspread	6.4	6	
1988	11	7	207	5	wingspread	3.6	1	
1988	11	7	207	5	wingspread	4.0	2	
1988	11	7	207	5	wingspread	3.5	3	
1988	11	7	207	5	wingspread	5.1	4	
1988	11	7	207	5	wingspread	7.0	5	
1988	11	7	207	5	wingspread	6.8	6	
1988	11	7	208	6	wingspread	4.0	1	
1988	11	7	208	6	wingspread	5.1	2	
1988	11	7	208	6	wingspread	4.9	3	
1988	11	7	208	6	wingspread	7.0	4	
1988	11	7	208	6	wingspread	7.4	5	
1988	11	7	208	6	wingspread	7.3	6	
1988	11	7	209	7	wingspread	3.4	1	
1988	11	7	209	7	wingspread	4.2	2	
1988	11	7	209	7	wingspread	3.5	3	
1988	11	7	209	7	wingspread	3.3	4	
1988	11	7	209	7	wingspread	3.7	5	
1988	11	7	209	7	wingspread	4.8	6	
1988	11	7	210	8	wingspread	4.7	1	
1988	11	7	210	8	wingspread	3.6	2	
1988	11	7	210	8	wingspread	4.9	3	
1988	11	7	210	8	wingspread	4.9	4	
1988	11	7	210	8	wingspread	5.1	5	
1988	11	7	210	8	wingspread	5.1	6	
1988	11	9	211	1	wingspread	4.3	1	
1988	11	9	211	1	wingspread	3.3	2	
1988	11	9	211	1	wingspread	4.3	3	
1988	11	9	211	1	wingspread	2.6	4	
1988	11	9	211	1	wingspread	4.9	5	
1988	11	9	211	1	wingspread	5.5	6	
1988	11	9	212	2	wingspread	3.7	1	
1988	11	9	212	2	wingspread	7.4	2	
1988	11	9	212	2	wingspread	5.0	3	
1988	11	9	212	2	wingspread	5.1	4	
1988	11	9	212	2	wingspread	4.9	5	
1988	11	9	212	2	wingspread	4.9	6	
1988	11	9	213	3	wingspread	4.1	1	
1988	11	9	213	3	wingspread	3.6	2	
1988	11	9	213	3	wingspread	"3,5"	3	
1988	11	9	213	3	wingspread	3.7	4	
1988	11	9	213	3	wingspread	3.0	5	
1988	11	9	213	3	wingspread	2.6	6	
1988	11	9	214	4	wingspread	2.5	1	
1988	11	9	214	4	wingspread	5.1	2	
1988	11	9	214	4	wingspread	5.5	3	
1988	11	9	214	4	wingspread	6.4	4	
1988	11	9	214	4	wingspread	5.8	5	
1988	11	9	214	4	wingspread	5.1	6	
1988	11	9	215	5	wingspread	4.2	1	
1988	11	9	215	5	wingspread	4.4	2	
1988	11	9	215	5	wingspread	5.3	3	
1988	11	9	215	5	wingspread	5.4	4	
1988	11	9	215	5	wingspread	7.0	5	
1988	11	9	215	5	wingspread	5.6	6	
1988	11	9	216	6	wingspread	3.6	1	
1988	11	9	216	6	wingspread	3.4	2	
1988	11	9	216	6	wingspread	7.9	3	
1988	11	9	216	6	wingspread	6.3	4	
1988	11	9	216	6	wingspread	4.9	5	
1988	11	9	216	6	wingspread	5.0	6	
1988	11	9	217	7	wingspread	5.4	1	
1988	11	9	217	7	wingspread	4.2	2	
1988	11	9	217	7	wingspread	5.4	3	
1988	11	9	217	7	wingspread	5.5	4	
1988	11	9	217	7	wingspread	5.8	5	
1988	11	9	217	7	wingspread	5.7	6	
1988	11	9	218	8	wingspread	3.8	1	
1988	11	9	218	8	wingspread	3.6	2	
1988	11	9	218	8	wingspread	5.2	3	
1988	11	9	218	8	wingspread	4.2	4	
1988	11	9	218	8	wingspread	3.6	5	
1988	11	9	218	8	wingspread	5.6	6	
1988	11	13	219	1	wingspread	3.2	1	
1988	11	13	219	1	wingspread	3.5	2	
1988	11	13	219	1	wingspread	8.2	3	
1988	11	13	219	1	wingspread	7.9	4	
1988	11	13	219	1	wingspread	6.9	5	
1988	11	13	219	1	wingspread	6.5	6	
1988	11	13	220	2	wingspread	3.5	1	
1988	11	13	220	2	wingspread	5.5	2	
1988	11	13	220	2	wingspread	6.2	3	
1988	11	13	220	2	wingspread	6.0	4	
1988	11	13	220	2	wingspread	9.0	5	
1988	11	13	220	2	wingspread	9.4	6	
1988	11	13	221	3	wingspread	3.5	1	
1988	11	13	221	3	wingspread	4.8	2	
1988	11	13	221	3	wingspread	5.3	3	
1988	11	13	221	3	wingspread	8.3	4	
1988	11	13	221	3	wingspread	8.1	5	
1988	11	13	221	3	wingspread	7.9	6	
1988	11	13	222	4	wingspread	3.0	1	
1988	11	13	222	4	wingspread	4.5	2	
1988	11	13	222	4	wingspread	5.8	3	
1988	11	13	222	4	wingspread	7.0	4	
1988	11	13	222	4	wingspread	7.4	5	
1988	11	13	222	4	wingspread	8.3	6	
1988	11	13	223	5	wingspread	4.4	1	
1988	11	13	223	5	wingspread	4.2	2	
1988	11	13	223	5	wingspread	5.4	3	
1988	11	13	223	5	wingspread	8.6	4	
1988	11	13	223	5	wingspread	8.2	5	
1988	11	13	223	5	wingspread	8.8	6	
1988	11	13	224	6	wingspread	4.1	1	
1988	11	13	224	6	wingspread	4.7	2	
1988	11	13	224	6	wingspread	7.0	3	
1988	11	13	224	6	wingspread	6.6	4	
1988	11	13	224	6	wingspread	5.6	5	
1988	11	13	224	6	wingspread	5.9	6	
1988	11	13	225	7	wingspread	2.8	1	
1988	11	13	225	7	wingspread	5.4	2	
1988	11	13	225	7	wingspread	5.9	3	
1988	11	13	225	7	wingspread	5.5	4	
1988	11	13	225	7	wingspread	3.2	5	
1988	11	13	225	7	wingspread	3.8	6	
