 15071997 12    3 0010001 1    86***** ****** 2 ** **00000000 ******1*** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** R1  L1 ARRACHER  
 15071997 12    3 0010028 1    54*****     9* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010029 1    43*****   5.5* 1 ** **00000000 *1******** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010030 1    71*****    12* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 59 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010031 1    55*****   8.5* 1 ** **00000000 ***1****** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010032 1    51*****   8.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010033 1    84*****    18* 2 ** **00000000 ********** LC 014960.4 030328.1  43 * 80 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010034 1    67*****  11.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 58 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010035 1    51*****   8.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010036 1    45*****     7* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010037 1    47*****     7* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010038 1    50*****   7.8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010039 1    70*****    12* 1 ** **00000000 ******1*** LC 014960.4 030328.1  43 * 60 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010040 1    58*****   9.5* 1 ** **00000000 ******1*2* LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010041 1    61*****    11* 1 ** **00000000 *****2**** LC 014960.4 030328.1  43 * 59 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010042 1    59*****    10* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010043 1    53*****   9.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010044 1    47*****     7* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010045 1    48*****   7.5* 1 ** **00000000 ********1* LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010046 1    52*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010047 1    53*****   8.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010048 1    51*****     8* 1 ** **00000000 *********2 LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010049 1    48*****   7.3* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010050 1    45*****     7* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010051 1    62*****    10* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 64 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010052 1    56*****     9* 1 ** **00000000 ******1*** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010053 1    67*****    11* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 53 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010054 1    55*****    11* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010055 1    50*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010056 1    35***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010057 1    43*****     6* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010058 1    54*****   8.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010059 1    47*****   7.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010060 1    47*****   7.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010061 1    53*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010062 1    52*****     8* 1 ** **00000000 *****1**** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010063 1    67*****    12* 1 ** **00000000 *******11* LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010064 1    54*****   8.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010065 1    54*****   8.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010066 1    50*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010067 1    44*****   6.7* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010068 1    67*****    15* 2 ** **00000000 ****1***** LC 014960.4 030328.1  43 * 70 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010069 1    44*****   7.3* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010070 1    43*****   6.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010071 1    41*****   6.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010072 1    46*****     7* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010073 1    40*****     6* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010074 1    63*****    10* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 59 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010075 1    57*****   9.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010076 1    47*****   7.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010077 1    44*****     7* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010078 1    58*****   9.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010079 1    49*****     7* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010080 1    62*****  11.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 60 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010081 1    68*****    11* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 52 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010082 1    67*****  11.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 60 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010083 1    51*****   8.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010084 1    31***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010085 1    53*****     9* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010086 1    43*****   6.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010087 1    47*****     7* 1 ** **00000000 ***1*1*1** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010088 1    65*****  10.5* 1 ** **00000000 ***1****** LC 014960.4 030328.1  43 * 53 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010089 1    52*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010090 1    40*****   5.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010091 1    50*****   7.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010092 1    58*****   9.3* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010093 1    38***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010094 1    55*****     9* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010095 1    41*****     6* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010096 1    54*****     9* 1 ** **00000000 ***1****** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010097 1    55*****     8* 1 ** **00000000 *****1**** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010098 1    56*****   8.3* 1 ** **00000000 ******1**1 LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010099 1    47*****   7.3* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010100 1    50*****    10* 1 ** **00000000 *****2**** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010101 1    47*****     6* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010102 1    44*****   6.4* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010103 1    50*****   8.2* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010104 1    61*****  10.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 60 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010105 1    54*****   8.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010106 1    55*****   8.3* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010107 1    55*****   8.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010108 1    42*****     7* 1 ** **00000000 **1**1**11 LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010109 1    46*****     7* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010110 1    69*****    13* 2 ** **00000000 *****1**** LC 014960.4 030328.1  43 * 68 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010111 1    53*****     9* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010112 1    40*****   5.5* 1 ** **00000000 *******11* LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010113 1    49*****     8* 1 ** **00000000 2********* LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010114 1    50*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010115 1    55*****   9.4* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010116 1    40*****   6.2* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010117 1    40*****   5.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010118 1    43*****   6.5* 1 ** **00000000 *****1**** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010119 1    55*****     9* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010120 1    52*****     8* 1 ** **00000000 ******1*** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010121 1    40*****     6* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010122 1    43*****   6.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010123 1    43*****   6.3* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010124 1    36***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010125 1    41*****     6* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010126 1    34***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010127 1    42*****   6.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010128 1    36***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010129 1    41*****   5.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010130 1    41*****     6* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010131 1    49*****   7.2* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010132 1    51*****     8* 1 ** **00000000 1********1 LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010133 1    35***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010134 1    53*****   8.3* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010135 1   107*****    27* 4 ** **00000000 ****1***** LC 014960.4 030328.1  43 * 83 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010136 1   116*****    27* 4 ** **00000000 ********** LC 014960.4 030328.1  43 * 69 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010137 1    96*****    20* 3 ** **00000000 ********** LC 014960.4 030328.1  43 * 85 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010138 1    76*****    17* 2 ** **00000000 ********** LC 014960.4 030328.1  43 * 70 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010139 1    91*****    23* 5 ** **00000000 ********** LC 014960.4 030328.1  43 * 68 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010140 1    94*****    23* 5 ** **00000000 1***1***** LC 014960.4 030328.1  43 * 70 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010141 1   122*****    32* 4 ** **00000000 ********** LC 014960.4 030328.1  43 * 79 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010142 1   117*****    31* 4 ** **00000000 ******1*1* LC 014960.4 030328.1  43 * 82 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010143 1    67*****    15* 2 ** **00000000 ********** LC 014960.4 030328.1  43 * 69 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010144 1    65*****    11* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 59 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010145 1    60*****    10* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 53 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010146 1    56*****     9* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010147 1   115*****    27* 4 ** **00000000 ********** LC 014960.4 030328.1  43 * 80 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010148 1    64*****    10* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 55 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010149 1    60*****    10* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 59 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010150 1    53*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010151 1    72*****  16.5* 2 ** **00000000 11******** LC 014960.4 030328.1  43 * 70 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010152 1    56*****    10* 2 ** **00000000 2*****1*** LC 014960.4 030328.1  43 * 69 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010153 1    72*****    16* 2 ** **00000000 ********** LC 014960.4 030328.1  43 * 75 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010154 1    67*****    12* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 59 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010155 1    43*****     6* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010156 1    59*****     9* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010157 1    53*****   8.5* 1 ** **00000000 ********1* LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010158 1    68*****    15* 2 ** **00000000 ********** LC 014960.4 030328.1  43 * 68 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010159 1    55*****     9* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010160 1    52*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010161 1    51*****     8* 1 ** **00000000 **11****** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010162 1    54*****     9* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010163 1    45*****     7* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010164 1    60*****    10* 1 ** **00000000 ********** LC 014960.4 030328.1  43 * 60 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010165 1    64*****    11* 1 ** **00000000 **11*11**1 LC 014960.4 030328.1  43 * 63 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010166 1    55*****    11* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010167 1    70*****    15* 2 ** **00000000 ********1* LC 014960.4 030328.1  43 * 67 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010168 1    53*****   8.3* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010169 1    54*****   8.5* 1 ** **00000000 *****1*1** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010170 1    64*****    14* 2 ** **00000000 ********1* LC 014960.4 030328.1  43 * 70 ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010171 1    54*****   8.5* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010172 1    39***** ****** 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010173 1    43*****   6.3* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010174 1    50*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010175 1    52*****     8* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010176 1    47*****   7.3* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010177 1    39***** ****** 1 ** **00000000 *******111 LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
 15071997 12    3 0010178 1    59*****    12* 1 ** **00000000 ********** LC 014960.4 030328.1  43 **** ****       S.ALBERT/A.HEBERT     ***** *                
