 06091996 18    3 0030001 1    87*****    18* 5 ** **00000000 ********** LC 014477.5 029187.7  34 * 70 ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030015 2    72   52 ****** 5 ** 2400000000 *1******** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030016 2    63   44 ****** 5 ** *000000000 *1**1*11** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030017 2    62   43 ****** 5 ** 1400000000 ****1***** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030018 2    64   43 ****** 5 ** 2400000000 1**1****1* LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030019 2    60   39 ****** 5 ** *000000000 ********** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030020 2    69   47 ****** 5 ** 1400000000 ***1****** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030021 2    56   42 ****** 5 ** 2200000000 ******1*11 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030022 2    69   47 ****** 4 ** 2400000000 ******1*1* LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030023 2    68   48 ****** 5 ** 2400000000 **111***** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030024 2    60   41 ****** 5 ** 1400000000 *1*1****** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030025 2    63   43 ****** 5 ** 1400000000 **1******1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030026 2    58   40 ****** 5 ** 1400000000 ******1*** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030027 2    70   45 ****** 5 ** 2100000000 *1*11*1**1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030028 2    75   48 ****** 5 ** 2400000000 ******1*** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030029 2    68   49 ****** 5 ** 2400000000 *********1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030030 2    73   53 ****** 5 ** 1400000000 ********** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030031 2    70   47 ****** 5 ** 1400000000 *********1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030032 2    71   47 ****** 5 ** *000000000 ****1*1*1* LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030033 2    62   40 ****** 5 ** *000000000 *111****** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030034 2    63   41 ****** 4 ** 2400000000 *********1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030035 2    61   39 ****** 4 ** 1400000000 *********1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030036 2    78   54 ****** 4 ** 1400000000 ***1*****1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030037 2    64   45 ****** 4 ** 1400000000 ******1*** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030038 2    65   45 ****** 4 ** 1400000000 ***1****** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030039 2    58   38 ****** 4 ** 2400000000 *1*1****** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030040 2    63   44 ****** 5 ** 2200000000 **1*11*1*1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030041 2    69   45 ****** 4 ** 2400000000 1*1*****1* LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030042 2    63   44 ****** 5 ** 2400000000 *1******** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030043 2    67   46 ****** 5 ** 1400000000 ******1*1* LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030044 2    61   42 ****** 4 ** 2400000000 **1******1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030045 2    62   46 ****** 4 ** 2400000000 1*******11 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030046 2    67   47 ****** 4 ** 2400000000 *1111***** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030047 2    70   47 ****** 5 ** 1400000000 *1******** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030048 2    67   45 ****** 5 ** 2400000000 1***1****1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030049 2    55   40 ****** 5 ** 3400000000 *******11* LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030050 2    70   47 ****** 5 ** 1400000000 *******1** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030051 2    68   49 ****** 5 ** 2400000000 ***11***** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030052 2    63   46 ****** 5 ** 2400000000 ********** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030053 2    63   46 ****** 5 ** 2400000000 ***1**1*** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030054 2    72   51 ****** 5 ** 2400000000 ********** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030055 2    70   48 ****** 4 ** 1400000000 ***1**111* LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030056 2    64   43 ****** 5 ** 2200000000 *1****1*** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030057 2    71   49 ****** 5 ** 1400000000 ***1****1* LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030058 2    69   47 ****** 5 ** 2400000000 ****1**1** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030059 2    68   46 ****** 4 ** 1400000000 *1*******1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030060 2    69   49 ****** 5 ** 1400000000 ********** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030061 2    71   48 ****** 5 ** 1400000000 *1****11** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030062 2    63   42 ****** 4 ** 2400000000 ******1*** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030063 2    70   47 ****** 4 ** *000000000 1***111111 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030064 2    74   51 ****** 5 ** 1400000000 ****1***** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030065 2    68   49 ****** 5 ** 2400000000 ******1**1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030066 2    70   49 ****** 5 ** 2400000000 *1****1**1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030067 2    68   49 ****** 5 ** 2200000000 *1***1***1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030068 2    64   43 ****** 5 ** 1400000000 **1***11** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030069 2    68   47 ****** 5 ** 1400000000 *1*1****** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030070 2    63   44 ****** 5 ** 2400000000 ********** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030071 2    60   44 ****** 5 ** 2400000000 ****1**1** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030072 2    67   47 ****** 4 ** 1400000000 ********** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030073 2    75   50 ****** 5 ** 1400000000 *******1** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030074 2    68   45 ****** 5 ** 1400000000 ***11****1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030075 2    71   50 ****** 5 ** 1400000000 1*1****11* LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030076 2    58   43 ****** 5 ** *000000000 *1*1****** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030077 2    70   47 ****** 5 ** *000000000 **1**11*** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030078 2    66   45 ****** 5 ** 1400000000 *1****1*** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030079 2    60   41 ****** 5 ** 2400000000 *1******11 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030080 2    67   48 ****** 5 ** 2400000000 *1*******1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030081 2    62   44 ****** 5 ** 1400000000 ********** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030082 2    63   45 ****** 5 ** 2400000000 ******1*** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030083 2    64   45 ****** 4 ** 1400000000 ****1***1* LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030084 2    77   52 ****** 5 ** 2400000000 1***1***1* LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030085 2    69   45 ****** 4 ** *000000000 ***1111*** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030086 2    64   42 ****** 5 ** 1400000000 1***1****1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030087 2    65   43 ****** 5 ** 2400000000 *11*****1* LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030088 2    73   50 ****** 5 ** 1400000000 *1******** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030089 2    63   48 ****** 4 ** 2400000000 *11*11**11 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030090 2    67   45 ****** 4 ** 1400000000 ***1****** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030091 2    62   44 ****** 5 ** 1400000000 ********** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030092 2    56   37 ****** 4 ** 1400000000 ******11*1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030093 2    65   42 ****** 5 ** 2400000000 ***11****1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030094 2    54   37 ****** 5 ** 1400000000 **1****11* LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030095 2    59   40 ****** 5 ** 2400000000 ********** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030096 2    63   44 ****** 4 ** 2400000000 **1*1***** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030097 2    68   47 ****** 4 ** 1400000000 **1***11*1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030098 2    68   48 ****** 5 ** 1400000000 ****1***1* LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030099 2    60   42 ****** 5 ** 2400000000 *1**1***11 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030100 2    64   49 ****** 5 ** 2100000000 11*11***** LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030101 2    62   44 ****** 4 ** 2400000000 2***1***1* LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030102 2    74   52 ****** 5 ** 2400000000 ****1****1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030103 2    66   45 ****** 4 ** 2100000000 *1****11*1 LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
 06091996 18    3 0030104 2    66   48 ****** 5 ** 2400000000 **1*****1* LC 014477.5 029187.7  34 **** ****       M.HEBERT/R.CAMBPELL   ***** *                
