 29072005 12    3 0060121 2 39.0317.89 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060122 2 47.4023.56 ****** 1  3 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060123 2 45.2422.04 ****** 1  3 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060124 2 50.5526.33 ****** 1  3 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060125 2 45.2022.56 ****** 1  3 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060126 2 35.9817.22 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060127 2 43.3720.21 ****** 1  3 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060128 2 31.1213.46 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060129 2 35.1315.90 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060130 2 26.7711.10 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060131 2 34.2015.93 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060132 2 34.3615.83 ****** 1  1 **00000000 ****2***** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060133 2 44.4421.48 ****** 1  3 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060134 2 27.6511.44 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060135 2 28.4211.24 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060136 2 27.5710.85 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060137 2 43.5621.19 ****** 1  3 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060138 2 37.8616.91 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060139 2 38.1917.55 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060140 2 40.6119.99 ****** 1  3 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060141 2 33.7315.46 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060142 2 37.7917.65 ****** 1  1 **00000000 ******1111 LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060143 2 35.4416.25 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060144 2 36.3316.34 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060145 2 27.0210.35 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060146 2 34.5814.47 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060147 2 36.8917.72 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060148 2 36.1215.20 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060149 2 26.5210.39 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060150 2 31.3413.02 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060151 2 28.3811.87 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060152 2 29.2212.52 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060153 2 25.2110.63 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060154 2 30.9012.35 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
 29072005 12    3 0060155 2 27.4711.14 ****** 1  1 **00000000 ********** LL 00481135 00621427  49 **** ****       STEPHANE & BOBBY H.   ***** *                
