 28082005 12    3 0020082 1 29.29*****  4.78* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020083 1 25.31*****  3.51* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020084 1 12.25*****  1.64* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020085 1 14.13*****  2.08* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020086 1 12.33*****  1.71* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020087 1 12.91*****  2.10* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020088 1 12.51*****  1.95* 1 ** **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020089 2 59.4431.31 ****** 1  3 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020090 2 47.0422.00 ****** 1  3 **00000000 ******1*11 LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020091 2 49.5024.69 ****** 1  3 **00000000 11***222*2 LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020092 2 59.4530.96 ****** 1  3 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020093 2 39.4617.74 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020094 2 37.3316.65 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020095 2 36.3315.63 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020096 2 34.7115.10 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020097 2 37.5716.69 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020098 2 38.8618.60 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020099 2 34.2814.49 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020100 2 37.8517.11 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020101 2 39.7117.73 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020102 2 39.4217.59 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020103 2 35.4915.62 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020104 2 28.4711.40 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020105 2 40.8418.56 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020106 2 35.7116.39 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020107 2 27.4111.31 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020108 2 29.6911.90 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020109 2 31.9413.61 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020110 2 29.5711.79 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020111 2 40.4218.11 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020112 2 30.6112.39 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020113 2 32.7913.70 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020114 2 31.0712.92 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020115 2 28.6911.83 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020116 2 19.59 6.97 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020117 2 28.9611.61 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020118 2 37.1916.58 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020119 2 36.9915.72 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020120 2 31.2512.94 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020121 2 34.4214.82 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020122 2 29.5711.55 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020123 2 30.7112.95 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020124 2 28.7611.16 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020125 2 30.1312.30 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020126 2 31.7012.96 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020127 2 28.4211.14 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020128 2 26.7610.42 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020129 2 26.9810.75 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020130 2 18.93 6.23 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
 28082005 12    3 0020131 2 14.17 4.60 ****** 1  1 **00000000 ********** LL 00473484 00642229  26 **** ****       STEPHANE & BOBBY H.   ***** *                
