 05101994 12    3 0130001 1    44***** ****** 1 ** **00000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130018 2    60   42 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130019 2    62   42 ****** 4 ** 2400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130020 2    64   44 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130021 2    63   42 ****** 4 ** 2400000000 ******1*** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130022 2    59   40 ****** 4 ** 2400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130023 2    67   45 ****** 4 ** 2400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130024 2    66   46 ****** 4 ** 2400000000 ****1***** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130025 2    70   47 ****** 4 ** 1400000000 ******1*** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130026 2    67   47 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130027 2    64   43 ****** 4 ** 2400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130028 2    64   45 ****** 4 ** 2400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130029 2    64   46 ****** 4 ** 2400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130030 2    61   41 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130031 2    63   43 ****** 4 ** 2400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130032 2    65   44 ****** 4 ** 2400000000 ****1***** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130033 2    57   38 ****** 4 ** 2400000000 ******1*** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130034 2    62   43 ****** 4 ** 1400000000 *1*****1** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130035 2    61   41 ****** 4 ** 2400000000 ******1*** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130036 2    66   46 ****** 4 ** 1400000000 *1******** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130037 2    67   45 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130038 2    68   46 ****** 4 ** 1400000000 *********1 LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130039 2    58   40 ****** 4 ** 1400000000 *****1***1 LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130040 2    73   52 ****** 4 ** 2400000000 *********1 LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130041 2    74   50 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130042 2    68   45 ****** 4 ** 1400000000 ******1*** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130043 2    58   40 ****** 4 ** 2400000000 1***1***** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130044 2    62   42 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130045 2    64   45 ****** 4 ** 3400000000 ******1*1* LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130046 2    62   44 ****** 4 ** 2400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130047 2    57   38 ****** 4 ** 1400000000 *1******** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130048 2    59   39 ****** 4 ** 3400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130049 2    60   40 ****** 4 ** 1400000000 ***1****** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130050 2    57   38 ****** 4 ** 1400000000 *1******** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130051 2    57   38 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130052 2    69   47 ****** 4 ** 2400000000 ***1****** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130053 2    59   41 ****** 4 ** 3400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130054 2    63   43 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130055 2    58   38 ****** 4 ** 2400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130056 2    63   43 ****** 4 ** 1400000000 ***1***1** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130057 2    64   43 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130058 2    55   36 ****** 4 ** 2400000000 *********1 LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130059 2    62   42 ****** 4 ** 1400000000 *1***1**** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130060 2    51   37 ****** 4 ** 2400000000 *********1 LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130061 2    67   45 ****** 4 ** 3400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130062 2    62   42 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130063 2    65   45 ****** 5 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130064 2    67   47 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130065 2    62   43 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130066 2    62   41 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130067 2    62   40 ****** 4 ** 2400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130068 2    60   40 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130069 2    65   42 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130070 2    67   46 ****** 4 ** 1400000000 *********1 LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130071 2    66   43 ****** 4 ** 2400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130072 2    63   44 ****** 5 ** 1400000000 **1******* LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130073 2    58   38 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130074 2    60   40 ****** 4 ** 1400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130075 2    57   38 ****** 4 ** 3400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130076 2    57   38 ****** 4 ** 1100000000 ****1*11** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130077 2    63   43 ****** 4 ** 2400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130078 2    57   39 ****** 4 ** 1400000000 ******1*** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130079 2    64   44 ****** 5 ** 1400000000 ********1* LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130080 2    73   48 ****** 5 ** 4400000000 ******1*** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130081 2    70   47 ****** 3 ** 2400000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130082 2    50   25 ****** 1  3 **00000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130083 2    40***** ****** 1  1 **00000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130084 2    43***** ****** 1  1 **00000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
 05101994 12    3 0130085 2    50   25 ****** 1  3 **00000000 ********** LC 014671.9 029733.1  40 **** ****       S. ALBERT/C. ALBERT   ***** *                
