 08081994 12    3 0110001 1    61*****    13* 5 ** **00000000 *1**1***** LC 014886.0 029610.1  47 * 61 ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110115 2    46   29 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110116 2    56   38 ****** 3 ** 2400000000 *********1 LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110117 2    57   38 ****** 3 ** 1400000000 ******1*** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110118 2    57   38 ****** 3 ** 2400000000 **1******* LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110119 2    58   38 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110120 2    43   30 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110121 2    60   40 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110122 2    53   37 ****** 3 ** 1400000000 ***11***** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110123 2    56   36 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110124 2    50   32 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110125 2    50   34 ****** 3 ** 2400000000 *****11*** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110126 2    57   38 ****** 3 ** 1400000000 *******1** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110127 2    55   37 ****** 3 ** 1400000000 *1******** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110128 2    53   37 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110129 2    55   36 ****** 3 ** 2400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110130 2    58   37 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110131 2    68   45 ****** 3 ** 1400000000 ********** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
 08081994 12    3 0110132 2    51   34 ****** 3 ** 2400000000 *****2**** LC 014886.0 029610.1  47 **** ****       C. ALBERT/A. HEBERT   ***** *                
