 15092003 12    3 0030051 2 28.5011.75 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030052 2 35.7515.67 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030053 2 41.4520.00 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030054 2 36.7016.29 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030055 2 34.9215.66 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030056 2 35.5616.29 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030057 2 36.4315.91 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030058 2 39.6418.92 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030059 2 35.1614.74 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030060 2 41.8019.10 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030061 2 29.7111.91 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030062 2 39.3318.16 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030063 2 28.2911.30 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030064 2 28.8412.12 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030065 2 26.17 9.73 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030066 2 22.51 7.62 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030067 2 30.8813.76 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030068 2 26.9511.26 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030069 2 22.30 7.89 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030070 2 36.0416.60 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030071 2 21.01 7.48 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030072 2 19.10 6.30 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030073 2 16.24 5.07 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
 15092003 12    3 0030074 2 24.02 8.81 ****** 1  1 **00000000 ********** LL 00473409 00642242  26 **** ****       C.ALBERT/S.ALBERT     ***** *                
