 26042005 19    3 0040089 2 39.0718.25 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040090 2 39.1018.34 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040091 2 37.3417.70 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040092 2 39.1818.69 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040093 2 40.2819.09 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040094 2 44.6022.04 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040095 2 49.0524.06 ****** 1  2 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040096 2 43.4222.02 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040097 2 35.7516.21 ****** 1  1 **00000000 *****2**** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040098 2 34.3015.82 ****** 1  1 **00000000 *********1 LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040099 2 38.5717.92 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040100 2 38.8517.31 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040101 2 41.8319.71 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040102 2 39.9618.93 ****** 1  1 **00000000 *1******** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040103 2 44.9620.89 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040104 2 40.6218.87 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040105 2 38.4217.28 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040106 2 50.1525.19 ****** 1  2 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040107 2 53.0026.31 ****** 1  2 **00000000 *******1** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040108 2 12.74 3.92 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040109 2 48.2724.00 ****** 1  2 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040110 2 41.1519.08 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040111 2 37.9717.12 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040112 2 38.0617.44 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040113 2 38.3618.80 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040114 2 61.7042.50 ****** 2 ** 1400000000 ******1**1 LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040115 2 59.1540.54 ****** 2 ** 1400000000 *1******** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040116 2 59.9440.38 ****** 2 ** 1400000000 11*****1** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040117 2 78.5655.80 ****** 4 ** 4400000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040118 2 72.3752.03 ****** 4 ** 1400000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040119 2 67.5556.00 ****** 4 ** 4200000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040120 2 62.7445.01 ****** 4 ** 4200000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040121 2 18.30 5.68 ****** 1  1 **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
 26042005 19    3 0040122 1 40.14*****  5.71* 1 ** **00000000 ********** LL 00463548 00612254  35 **** ****       C.ALBERT/M.HEBERT     ***** *                
