 06092006 12    3 0010074 1 24.14*****  3.82* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010075 1 24.83*****  2.92* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010076 1 18.49*****  2.58* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010077 1 20.89*****  2.95* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010078 1 20.56*****  2.86* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010079 1 18.30*****  2.68* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010080 1 19.43*****  2.88* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010081 1 18.66*****  2.75* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010082 1 19.39*****  2.22* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010083 1 19.35*****  2.77* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010084 1 18.13*****  2.88* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010085 1 19.24*****  2.69* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010086 1 18.72*****  2.65* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010087 1 23.95*****  3.39* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010088 1 19.13*****  2.37* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010089 1 17.63*****  2.70* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010090 2 37.2016.70 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010091 2 55.3928.32 ****** 1  3 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010092 2 49.6024.45 ****** 1  3 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010093 2 46.7324.33 ****** 1  3 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010094 2 47.6324.86 ****** 1  3 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010095 2 50.5024.98 ****** 1  3 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010096 2 46.8122.44 ****** 1  3 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010097 2 48.7024.68 ****** 1  3 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010098 2 50.4425.08 ****** 1  3 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010099 2 48.1524.46 ****** 1  3 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010100 2 46.7422.97 ****** 1  3 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010101 2 48.2223.98 ****** 1  3 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010102 2 45.9822.74 ****** 1  3 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010103 2 42.6620.54 ****** 1  3 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010104 2 37.3117.41 ****** 1  3 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010105 2 48.3123.68 ****** 1  3 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010106 2 45.3521.56 ****** 1  3 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010107 2 46.0121.50 ****** 1  3 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010108 2 49.3724.35 ****** 1  3 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010109 2 44.6921.78 ****** 1  3 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010110 2 43.2921.06 ****** 1  3 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010111 2 42.2419.95 ****** 1  3 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010112 2 36.0815.42 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010113 2 35.2315.41 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010114 2 33.2114.18 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010115 2 42.0919.37 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010116 2 36.9715.90 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010117 2 42.5620.63 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010118 2 40.2119.23 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010119 2 39.4217.94 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010120 2 37.3016.80 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010121 2 38.3017.72 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010122 2 35.1615.31 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010123 2 35.8414.67 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010124 2 23.23 8.50 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010125 2 36.6715.77 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010126 2 37.0516.33 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010127 2 39.5118.46 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010128 2 37.7516.41 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010129 2 35.3915.18 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010130 2 44.0920.51 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010131 2 35.6315.47 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010132 2 34.0515.97 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010133 2 36.9117.02 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010134 2 37.2216.86 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010135 2 39.1417.24 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010136 2 28.2811.22 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010137 2 25.5510.49 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010138 2 33.2114.20 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010139 2 27.09 9.66 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010140 2 26.33 9.65 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010141 2 44.4620.52 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010142 2 24.99 9.69 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010143 2 27.0811.03 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010144 2 19.68 6.61 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010145 2 18.84 6.52 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010146 2 24.42 9.63 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010147 2 25.46 9.96 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010148 2 25.08 8.54 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010149 2 20.14 6.45 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010150 2 18.75 6.60 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010151 2 19.95 6.66 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010152 2 15.08 4.46 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010153 2 18.75 5.84 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010154 2 23.11 8.46 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010155 2 20.10 7.00 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010156 2 26.18 9.52 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010157 2 20.42 6.94 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010158 2 20.56 7.37 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010159 2 20.00 6.61 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010160 2 19.62 6.75 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010161 2 19.53 6.58 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010162 2 24.09 8.70 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010163 2 33.7415.19 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010164 2 34.8314.98 ****** 1  1 **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010165 2 55.2038.50 ****** 2 ** 2400000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
 06092006 12    3 0010166 1 20.10*****  2.56* 1 ** **00000000 ********** LL 04824191 06332442  59 **** ****       J.CHIASSON & S.ALBERT ***** *                
