 09082010 12    3 0070071 1 41.36*****  5.78* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070072 1 42.29*****  6.35* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070073 1 41.93*****  6.50* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070074 1 34.35*****  5.20* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070075 1 31.53*****  4.66* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070076 1 27.14*****  3.91* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070077 1 26.04*****  3.95* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070078 1 33.99*****  5.24* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070079 1 27.72*****  4.16* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070080 1 32.35*****  4.89* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070081 1 30.08*****  4.01* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070082 1 37.47*****  5.67* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070083 1 45.61*****  7.28* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070084 1 36.34*****  5.66* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070085 1 36.99*****  5.58* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070086 1 33.32*****  4.76* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070087 1 33.50*****  5.00* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070088 1 33.96*****  5.30* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070089 1 29.75*****  4.11* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070090 1 31.04*****  4.92* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070091 1 26.21*****  3.83* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070092 1 27.21*****  3.83* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070093 1 31.91*****  4.67* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070094 1 31.83*****  4.60* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070095 1 26.17*****  3.93* 1 ** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070096 1 49.51*****  8.48* 3M** **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070097 2 40.9820.85 ****** 1  2 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070098 2 45.1421.27 ****** 1  3 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070099 2 43.3621.36 ****** 1  3 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070100 2 45.9722.69 ****** 1  3 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070101 2 36.1716.74 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070102 2 39.8619.67 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070103 2 39.8619.35 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070104 2 38.9219.17 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070105 2 34.5314.76 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070106 2 45.5022.74 ****** 1  3 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070107 2 44.2621.20 ****** 1  2 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070108 2 42.0919.08 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070109 2 36.5716.44 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070110 2 34.7215.83 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070111 2 34.2515.14 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
 09082010 12    3 0070112 2 29.1012.69 ****** 1  1 **00000000 ********** LL 04817665 06316561  39 **** ****       M OUELLET & S ALBERT  ***** *                
