 24072010 12    3 0050057 1 65.83***** 10.90* 1 ** **00000000 ********** LL 04717337 06413907  26 * 54 ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050058 1 65.82***** 10.33* 1 ** **00000000 ********** LL 04717337 06413907  26 * 50 ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050059 1 68.66***** 11.99* 1 ** **00000000 ***1*1**** LL 04717337 06413907  26 * 49 ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050060 1 89.86***** 16.02* 1 ** **00000000 ********** LL 04717337 06413907  26 * 53 ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050061 1 56.70*****  8.67* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050062 1 49.49*****  7.45* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050063 1 51.23*****  7.56* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050064 1 51.13*****  7.49* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050065 1 57.41*****  6.26* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050066 1 46.61*****  6.65* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050067 1 54.35*****  8.60* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050068 1 50.96*****  7.68* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050069 1 56.11*****  7.91* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050070 1 43.71*****  6.73* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050071 1 49.42*****  7.37* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050072 1 44.35*****  5.92* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050073 1 59.47*****  9.44* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050074 1 53.18*****  8.18* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050075 1 53.17*****  7.76* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050076 1 55.50*****  9.32* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050077 1 57.24*****  9.12* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050078 1 52.03*****  7.98* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050079 1 60.06*****  9.58* 1 ** **00000000 ********** LL 04717337 06413907  26 * 53 ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050080 1 43.53*****  6.61* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050081 1 51.02*****  7.63* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050082 1 43.46*****  6.25* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050083 1 40.48*****  5.95* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050084 1 41.62*****  5.78* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050085 1 41.32*****  6.40* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050086 1 39.50*****  5.74* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050087 1 57.68*****  9.62* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050088 1 43.52*****  6.22* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050089 1 48.20*****  7.00* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
 24072010 12    3 0050090 1 54.44*****  8.26* 1 ** **00000000 ********** LL 04717337 06413907  26 **** ****       S. ALBERT/M. OUELLET  ***** *                
