"depth.m.","date","temperature"
17,2020-06-13,5.82
18,2020-06-13,5.67
19,2020-06-13,5.53
20,2020-06-13,5.45
21,2020-06-13,5.17
22,2020-06-13,4.98
23,2020-06-13,4.93
24,2020-06-13,4.69
25,2020-06-13,4.45
26,2020-06-13,3.92
27,2020-06-13,3.45
28,2020-06-13,3.03
29,2020-06-13,2.76
30,2020-06-13,2.59
31,2020-06-13,2.49
32,2020-06-13,2.39
33,2020-06-13,2.21
34,2020-06-13,1.93
35,2020-06-13,1.84
36,2020-06-13,1.83
37,2020-06-13,1.8
38,2020-06-13,1.66
39,2020-06-13,1.43
40,2020-06-13,1.26
41,2020-06-13,1.11
42,2020-06-13,0.88
43,2020-06-13,0.64
44,2020-06-13,0.48
45,2020-06-13,0.31
46,2020-06-13,0.15
47,2020-06-13,0.07
48,2020-06-13,0
49,2020-06-13,-0.05
50,2020-06-13,-0.08
51,2020-06-13,-0.04
52,2020-06-13,0.02
53,2020-06-13,0.12
54,2020-06-13,0.07
55,2020-06-13,0.07
56,2020-06-13,0.09
57,2020-06-13,0.08
58,2020-06-13,0.15
59,2020-06-13,0.2
60,2020-06-13,0.22
61,2020-06-13,0.22
62,2020-06-13,0.23
63,2020-06-13,0.25
64,2020-06-13,0.27
65,2020-06-13,0.28
66,2020-06-13,0.32
67,2020-06-13,0.37
68,2020-06-13,0.4
69,2020-06-13,0.41
70,2020-06-13,0.42
71,2020-06-13,0.42
72,2020-06-13,0.42
73,2020-06-13,0.42
74,2020-06-13,0.42
75,2020-06-13,0.42
76,2020-06-13,0.42
77,2020-06-13,0.42
78,2020-06-13,0.42
79,2020-06-13,0.43
2,2020-06-14,10.56
3,2020-06-14,10.48
4,2020-06-14,10.41
5,2020-06-14,10.34
6,2020-06-14,10.24
7,2020-06-14,10.12
8,2020-06-14,9.75
9,2020-06-14,9.48
10,2020-06-14,9.33
11,2020-06-14,9.25
12,2020-06-14,9.17
13,2020-06-14,8.31
14,2020-06-14,7.33
15,2020-06-14,6.83
16,2020-06-14,6.55
17,2020-06-14,6.49
18,2020-06-14,6.41
19,2020-06-14,6.19
20,2020-06-14,6.1
21,2020-06-14,5.94
22,2020-06-14,5.74
23,2020-06-14,5.53
24,2020-06-14,5.22
25,2020-06-14,5.09
26,2020-06-14,4.69
27,2020-06-14,4.12
28,2020-06-14,3.91
29,2020-06-14,3.8
30,2020-06-14,3.46
31,2020-06-14,3.18
32,2020-06-14,2.85
33,2020-06-14,2.72
34,2020-06-14,2.57
35,2020-06-14,2.41
36,2020-06-14,2.27
37,2020-06-14,2.14
38,2020-06-14,1.97
39,2020-06-14,1.71
40,2020-06-14,1.48
41,2020-06-14,1.3
42,2020-06-14,1.16
43,2020-06-14,1.16
44,2020-06-14,1.19
45,2020-06-14,1.16
46,2020-06-14,1.04
47,2020-06-14,0.89
48,2020-06-14,0.77
49,2020-06-14,0.42
50,2020-06-14,0.02
51,2020-06-14,-0.18
52,2020-06-14,-0.28
53,2020-06-14,-0.27
54,2020-06-14,-0.2
55,2020-06-14,-0.03
56,2020-06-14,0.06
57,2020-06-14,0.05
58,2020-06-14,0.13
59,2020-06-14,0.06
60,2020-06-14,0.1
61,2020-06-14,0.16
62,2020-06-14,0.25
63,2020-06-14,0.31
64,2020-06-14,0.33
65,2020-06-14,0.33
66,2020-06-14,0.34
67,2020-06-14,0.34
68,2020-06-14,0.35
69,2020-06-14,0.35
70,2020-06-14,0.36
71,2020-06-14,0.36
72,2020-06-14,0.37
73,2020-06-14,0.37
74,2020-06-14,0.38
