C1200,C1224,C1510,C1600,C1810,C1823,C1827,C1930,C2893,C3100,C3200,C3700,C4200,C8113,C8200,C8300,C8324,C8500,C9200,C9300,C9302,C9303,C9304,C9400,C9630,class_data,DATE,GPnum,GPnum_wt_year,Location,P1200,P1224,P1510,P1600,P1810,P1823,P1827,P1930,P2893,P3100,P3200,P3700,P4200,P8113,P8200,P8300,P8324,P8500,P9200,P9300,P9302,P9303,P9304,P9400,P9630,TCseapen,TCsponge,TCsponge2,timestamp,TPseapen,TPsponge,TPsponge2,TRAWLNUM,TWseapen,TWsponge,TWsponge2,W1200,W1224,W1510,W1600,W1810,W1823,W1827,W1930,W2893,W3100,W3200,W3700,W4200,W8113,W8200,W8300,W8324,W8500,W9200,W9300,W9302,W9303,W9304,W9400,W9630
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-22,GP107F,G21_GP107F,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2021-07-22 13:55:42,,1,,6,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-22,GP083F,G21_GP083F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-22 14:58:01,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3,,,,,,,,,,2021-07-22,GP083A1,G21_GP083A1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,2021-07-22 15:52:00,,1,,8,,0.25,,,,,,,,,,,,,,,,,,0.15,,,,,,,,
,,,,,,,,,,,,,,,2,5,,,,,,,,,,2021-07-22,GP096F,G21_GP096F,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,2021-07-22 18:15:04,,1,,9,,0.16,,,,,,,,,,,,,,,,,0.46,0.2,,,,,,,,
,,,,,,,,,,,,,,,,,1,,,,,,,,,2021-07-22,GP112F,G21_GP112F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,2021-07-22 19:37:52,,1,,10,,0.07,,,,,,,,,,,,,,,,,,,1.47,,,,,,,
,,,,,,,,1,,,,,,,2,,,,,,,,,,,2021-07-23,GP115F,G21_GP115F,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,2021-07-23 04:49:45,,,,1,,,,,,,,,,,,0.01,,,,,,,0.16,,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,,,,2021-07-23,GP103F,G21_GP103F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,2021-07-23 06:02:04,,1,,2,,0.08,,,,,,,,,,,,,,,,,0.04,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-23,GP130F,G21_GP130F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-23 07:27:57,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,43,,,,,,,,,,2,,1,,,,,,,,,2021-07-23,GP130A1,G21_GP130A1,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,1,,2021-07-23 08:18:36,,1,,4,,0.98,,,,,,,4.17,,,,,,,,,,0.08,,1.85,,,,,,,
,,,,,6,,,,,,,,,,,,1,,,,,,,,,2021-07-23,GP152F,G21_GP152F,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,2021-07-23 09:55:27,,,,5,,,,,,,,,0.45,,,,,,,,,,,,0.93,,,,,,,
