year,month,day,tow.number,tow.id,species,number.caught,weight.caught,presence,species.logbook,comment
1988,8,9,6,S88023,41,20,NA,1,plies,
1988,8,9,6,S88023,6400,NA,NA,1,oursins,beaucoup
1988,8,9,6,S88023,6500,50,NA,1,sand dollars,
1988,8,9,7,S88024,10,2,NA,1,morues,
1988,8,9,7,S88024,41,20,NA,1,plies,
1988,8,9,7,S88024,6500,20,NA,1,dollars de sable,
1988,8,9,8,S88025,10,10,NA,1,morues,
1988,8,9,8,S88025,41,150,NA,1,plies,
1988,8,9,9,S88026,10,2,NA,1,morues,
1988,8,9,9,S88026,41,25,NA,1,plies,
1988,8,9,9,S88026,598,1,NA,1,loches,
1988,8,9,9,S88026,4210,50,NA,1,bigorneaux,
1988,8,9,9,S88026,4320,5,NA,1,pétoncles d'islande,
1988,8,9,9,S88026,4330,20,NA,1,espece de moules-coques vide,
1988,8,9,9,S88026,6400,20,NA,1,oursins,
1988,8,9,10,S88027,41,20,NA,1,plies,
1988,8,9,10,S88027,202,4,NA,1,raies,
1988,8,9,10,S88027,4210,50,NA,1,bigorneaux,
1988,8,9,10,S88027,6100,2,NA,1,étoile de mer,
1988,8,9,10,S88027,6300,2,NA,1,corne de cerf,
1988,8,9,10,S88027,6400,100,NA,1,oursins,
1988,8,9,10,S88027,6500,10,NA,1,dollars de sable,
1988,8,9,12,S88029,10,1,NA,1,morues,
1988,8,9,12,S88029,6400,20,NA,1,oursins,
1988,8,9,13,S88030,10,2,NA,1,morues,
1988,8,9,13,S88030,41,50,NA,1,plies,
1988,8,9,13,S88030,202,3,NA,1,raies,
1988,8,9,13,S88030,6400,200,NA,1,oursins,
1988,8,9,13,S88030,6500,10,NA,1,dollars de sable,
1988,8,9,14,S88031,10,10,NA,1,morues,
1988,8,9,14,S88031,41,50,NA,1,plies,
1988,8,9,14,S88031,202,5,NA,1,raies,
1988,8,9,14,S88031,4210,30,NA,1,bigorneaux,
1988,8,9,14,S88031,6300,10,NA,1,corne de cerf,
1988,8,9,14,S88031,6400,100,NA,1,oursins,
1988,8,9,14,S88031,6500,25,NA,1,dollars de sable,
1988,8,10,1,S88032,10,1,NA,1,morue,
1988,8,10,1,S88032,41,1,NA,1,plies,
1988,8,10,1,S88032,2520,2,NA,1,hyas,
1988,8,10,1,S88032,4320,100,NA,1,pétoncles d'islande,
1988,8,10,1,S88032,8600,25,NA,1,éponges,
1988,8,10,1,S88032,,50,NA,1,œufs de buccins,50 serie
1988,8,10,1,S88032,,NA,,1,petit poisson non connu,
1988,8,10,2,S88033,10,25,NA,1,morues,
1988,8,10,2,S88033,41,10,NA,1,plies,
1988,8,10,2,S88033,4320,10,NA,1,pétoncles d'islande,
1988,8,10,2,S88033,6400,50,NA,1,oursins,
1988,8,10,2,S88033,8600,NA,NA,1,éponges carré,
1988,8,10,3,S88034,10,1,NA,1,morues,
1988,8,10,3,S88034,41,5,NA,1,plies,
1988,8,10,3,S88034,202,2,NA,1,raies,
1988,8,10,3,S88034,4210,20,NA,1,bigorneaux,
1988,8,10,3,S88034,6400,300,NA,1,oursins,
1988,8,11,1,S88036,10,20,NA,1,morues,
1988,8,11,1,S88036,41,100,NA,1,plies,
1988,8,11,1,S88036,598,5,NA,1,loches,
1988,8,11,1,S88036,2220,NA,NA,1,crevettes,beaucoup
1988,8,11,1,S88036,4210,25,NA,1,bigorneaux,
1988,8,11,2,S88037,6110,NA,NA,1,étoile a 16 pattes,
1988,8,11,2,S88037,6200,200,NA,1,ophiure ,
1988,8,11,2,S88037,6400,500,NA,1,oursins,
1988,8,11,3,S88038,10,25,NA,1,morues,
1988,8,11,3,S88038,41,1000,NA,1,plies,
1988,8,11,3,S88038,4210,100,NA,1,bigorneaux,
1988,8,11,3,S88038,6200,NA,NA,1,ophiures,beaucoup
1988,8,11,4,S88039,10,20,NA,1,morues,
1988,8,11,4,S88039,41,500,NA,1,plies,
1988,8,11,4,S88039,4210,25,NA,1,bigorneaux,
1988,8,11,4,S88039,6200,NA,NA,1,ophiures,gros tas d'étoile(ophiure)
1988,8,11,5,S88040,10,10,NA,1,morues,
1988,8,11,5,S88040,41,NA,NA,1,plies,beaucoup
1988,8,11,5,S88040,6200,NA,NA,1,ophiures,grosse pile
1988,8,17,1,S88041,10,20,NA,1,morues,
1988,8,17,1,S88041,41,10,NA,1,plies grises,
1988,8,17,1,S88041,2520,5,NA,1,hyas,
1988,8,17,1,S88041,40,100,NA,1,plies canadiennes,
1988,8,17,1,S88041,4210,25,NA,1,bigorneaux,
1988,8,17,1,S88041,6100,5,NA,1,étoiles a 16 branches,
1988,8,17,2,S88042,10,30,NA,1,morues,
1988,8,17,2,S88042,41,125,NA,1,plies,
1988,8,17,2,S88042,6200,NA,NA,1,ophiures,beaucoup (2 pieds par 3 pieds
1988,8,17,3,S88043,10,15,NA,1,morues,
1988,8,17,3,S88043,41,100,NA,1,plies,
1988,8,17,3,S88043,4210,20,NA,1,bigorneaux,
1988,8,17,3,S88043,6200,NA,NA,1,ophiures,beaucoup
1988,8,17,6,S88046,10,25,NA,1,morues,
1988,8,17,6,S88046,41,100,NA,1,plies,
1988,8,17,6,S88046,4210,30,NA,1,bigorneaux,
1988,8,18,1,S88047,41,50,NA,1,plies,
1988,8,18,1,S88047,598,5,NA,1,loches,
1988,8,18,1,S88047,6200,NA,NA,1,ophiures,
1988,8,18,2,S88048,10,10,NA,1,morues,
1988,8,18,2,S88048,41,100,NA,1,plies,
1988,8,18,2,S88048,202,2,NA,1,raies,
1988,8,18,2,S88048,505,10,NA,1,limace,
1988,8,18,2,S88048,4210,30,NA,1,bigorneaux,
1988,8,18,2,S88048,6200,NA,NA,1,ophiures,grosse poche
1988,8,18,4,S88050,10,50,NA,1,morues,
1988,8,18,4,S88050,41,200,NA,1,plies,
1988,8,18,4,S88050,60,2,NA,1,harengs,
1988,8,18,4,S88050,2520,25,NA,1,hyas,
1988,8,18,4,S88050,8600,NA,NA,1,éponge(petite),
1988,8,19,1,S88052,10,10,NA,1,morues,
1988,8,19,1,S88052,41,50,NA,1,plies,
1988,8,19,1,S88052,60,1,NA,1,hareng,
1988,8,19,1,S88052,505,20,NA,1,limaces,
1988,8,19,1,S88052,598,3,NA,1,loches,
1988,8,19,1,S88052,2520,200,NA,1,hyas,
1988,8,20,1,S88053,10,20,NA,1,morues,
1988,8,20,1,S88053,41,100,NA,1,plies,
1988,8,20,1,S88053,505,2,NA,1,limaces,
1988,8,20,1,S88053,6200,NA,NA,1,ophiures,un peu
1988,8,20,2,S88054,10,10,NA,1,morues,
1988,8,20,2,S88054,41,50,NA,1,plies,
1988,8,20,2,S88054,505,5,NA,1,limaces,
1988,8,20,2,S88054,598,3,NA,1,loches,
1988,8,20,2,S88054,6200,NA,NA,1,ophiures,1 crate
1988,8,20,3,S88055,10,5,NA,1,morues,
1988,8,20,3,S88055,41,100,NA,1,plies,
1988,8,20,3,S88055,598,2,NA,1,loches,
1988,8,20,3,S88055,6200,NA,NA,1,ophiures,3 crates
1988,8,20,4,S88056,10,50,NA,1,morue,
1988,8,20,5,S88057,10,10,NA,1,morues,
1988,8,20,5,S88057,41,50,NA,1,plies,
1988,8,20,5,S88057,118,1,NA,1,morue pilote,
1988,8,20,5,S88057,6200,NA,NA,1,ophiures,
1988,8,20,5,S88057,8600,NA,NA,1,éponges ,
1988,8,21,1,S88058,10,3,NA,1,morues,
1988,8,21,1,S88058,41,20,NA,1,plies,
1988,8,21,1,S88058,60,5,NA,1,harengs,
1988,8,21,1,S88058,6200,NA,NA,1,ophiures,grosse pile
1988,8,21,2,S88059,10,10,NA,1,morues,
1988,8,21,2,S88059,41,50,NA,1,plies,
1988,8,21,2,S88059,6200,NA,NA,1,ophiures,beaucoup
1988,8,21,3,S88060,41,100,NA,1,plies,
1988,8,21,3,S88060,6200,NA,NA,1,ophiures,beaucoup
1988,8,21,5,S88062,10,4,NA,1,morues,
1988,8,21,5,S88062,41,15,NA,1,plies,
1988,8,21,5,S88062,2520,20,NA,1,hyas,
1988,8,22,1,S88063,10,5,NA,1,morues,
1988,8,22,1,S88063,41,50,NA,1,plies,
1988,8,22,1,S88063,60,3,NA,1,harengs,
1988,8,22,1,S88063,202,1,NA,1,raies,
1988,8,22,1,S88063,598,2,NA,1,loches,
1988,8,22,1,S88063,2520,25,NA,1,hyas,
1988,8,22,2,S88064,10,5,NA,1,morues,
1988,8,22,2,S88064,41,50,NA,1,plies,
1988,8,22,2,S88064,598,5,NA,1,loches,
1988,8,23,1,S88066,10,2,NA,1,morues,
1988,8,23,1,S88066,41,20,NA,1,plies,
1988,8,23,1,S88066,6400,50,NA,1,oursins,
1988,8,23,2,S88067,10,3,NA,1,morues,
1988,8,23,2,S88067,41,50,NA,1,plies,
1988,8,23,2,S88067,4210,2,NA,1,bigorneaux,
1988,8,23,3,S88068,10,20,NA,1,morues,
1988,8,23,3,S88068,41,50,NA,1,plies,
1988,8,23,3,S88068,202,10,NA,1,raies,
1988,8,23,3,S88068,6300,20,NA,1,cornes de cerf,
1988,8,23,4,S88069,10,5,NA,1,morues,
1988,8,23,4,S88069,41,10,NA,1,plies,
1988,8,23,4,S88069,6400,200,NA,1,oursins,
1988,8,23,4,S88069,,NA,NA,1,pétoncles d'islande,3 crate et seulement 3 sceau de vivant
1988,8,23,4,S88069,,2,NA,1,buccin,
1988,8,23,5,S88070,10,2,NA,1,morues,
1988,8,23,5,S88070,41,10,NA,1,plies,
1988,8,23,5,S88070,2520,10,NA,1,hyas,
1988,8,23,6,S88071,2520,10,NA,1,hyas,
1988,8,23,6,S88071,4320,NA,NA,1,pétoncles,2 crates; 90% vide; environ 2 sceaux de bonne
1988,8,23,6,S88071,6400,20,NA,1,oursins,
1988,8,23,7,S88072,10,2,NA,1,morues,
1988,8,23,7,S88072,41,25,NA,1,plies,
1988,8,23,7,S88072,202,2,NA,1,raies,
1988,8,23,7,S88072,4320,10,NA,1,pétoncles d'islande,
1988,8,23,7,S88072,6400,NA,NA,1,oursins,1 crate
1988,8,23,8,S88073,10,1,NA,1,morues,
1988,8,23,8,S88073,41,20,NA,1,plies,
1988,8,23,8,S88073,4210,20,NA,1,bigorneaux,
1988,8,23,8,S88073,4320,20,NA,1,pétoncles d'islande,
1988,8,23,8,S88073,6200,10,NA,1,ophiures,
1988,8,23,8,S88073,6300,20,NA,1,cornes de cerf,
1988,8,23,8,S88073,6500,50,NA,1,dollars de sable,
1988,8,23,8,S88073,6400,NA,NA,1,oursins,2 crates 
1988,8,24,1,S88074,10,5,NA,1,morues,
1988,8,24,1,S88074,41,50,NA,1,plies,
1988,8,24,1,S88074,202,2,NA,1,raies,
1988,8,24,1,S88074,6200,10,NA,1,ophiures,
1988,8,24,1,S88074,6400,0,NA,1,oursins,
1988,8,24,2,S88075,10,10,NA,1,morues,
1988,8,24,2,S88075,41,50,NA,1,plies,
1988,8,24,2,S88075,501,1,NA,1,poule d'eau,
1988,8,24,2,S88075,4210,50,NA,1,bigorneaux,
1988,8,24,2,S88075,6500,15,NA,1,dollars de sable,
1988,8,24,2,S88075,,NA,NA,1,mollusque vide,1 sceau
1988,8,24,3,S88076,10,50,NA,1,morues,
1988,8,24,3,S88076,41,300,NA,1,plies,
1988,8,24,3,S88076,4210,20,NA,1,bigorneaux,
1988,8,30,1,S88077,10,2,NA,1,morues,
1988,8,30,1,S88077,41,20,NA,1,plies,
1988,8,30,1,S88077,6400,100,NA,1,oursins,
1988,8,30,2,S88078,10,5,NA,1,morues,
1988,8,30,2,S88078,23,6,NA,1,poissons rouges,
1988,8,30,2,S88078,41,25,NA,1,plies,
1988,8,30,2,S88078,2220,50,NA,1,crevettes,
1988,8,30,2,S88078,4210,5,NA,1,bigorneaux,
1988,8,30,3,S88079,10,20,NA,1,morues,
1988,8,30,3,S88079,23,NA,NA,1,poisson rouges,1/2 crate
1988,8,30,3,S88079,41,100,NA,1,plies,
1988,8,30,3,S88079,202,20,NA,1,raies,
1988,8,30,3,S88079,598,2,NA,1,loches,
1988,8,31,2,S88081,10,5,NA,1,morues,
1988,8,31,2,S88081,41,NA,NA,1,plies,1 crate
1988,8,31,3,S88082,6110,NA,NA,1,étoiles ,
1988,8,31,4,S88083,41,300,NA,1,plies,
1988,8,31,4,S88083,598,3,NA,1,loches,
1988,8,31,4,S88083,4210,50,NA,1,bigorneaux,
1988,8,31,5,S88084,10,NA,NA,1,morues,beaucoup
1988,8,31,5,S88084,41,NA,NA,1,plies,beaucoup
1988,8,31,7,S88086,10,NA,NA,1,morues,beaucoup
1988,8,31,7,S88086,41,NA,NA,1,plies,
1988,8,31,7,S88086,6110,16,NA,1,étoiles 16 pattes,
1988,8,31,7,S88086,6200,NA,NA,1,ophiures,
1988,8,31,8,S88087,41,NA,NA,1,plies,1/2 crate
1988,8,31,8,S88087,6400,NA,NA,1,oursins,
1988,8,31,8,S88087,10,NA,NA,1,morues,3 crates
1988,8,31,9,S88088,10,10,NA,1,morues,
1988,8,31,9,S88088,41,50,NA,1,plies,
1988,8,31,9,S88088,4210,10,NA,1,bigorneaux,
1988,8,31,9,S88088,6400,NA,NA,1,oursins,1 crate
1988,8,31,10,S88089,41,20,NA,1,plies,
1988,8,31,10,S88089,6400,NA,NA,1,oursins,3 crates
1988,8,31,11,S88090,10,50,NA,1,morues,
1988,8,31,11,S88090,41,2,NA,1,plies,
1988,8,31,11,S88090,6400,NA,NA,1,oursins,3 crates
1988,8,31,12,S88091,10,20,NA,1,morues,
1988,8,31,12,S88091,41,50,NA,1,plies,
1988,8,31,12,S88091,6400,NA,NA,1,oursins,1 crate
1988,8,31,13,S88092,10,NA,NA,1,morues,beaucoup
1988,8,31,13,S88092,41,NA,NA,1,plies,beaucoup
1988,8,31,13,S88092,6200,NA,NA,1,ophiures,un gros tas
1988,9,1,2,S88094,4210,10,NA,1,bigorneaux,
1988,9,1,2,S88094,4310,20,NA,1,Pas vu ceci dans blackbook,
1988,9,1,2,S88094,6400,100,NA,1,oursins,
1988,9,1,2,S88094,6500,500,NA,1,sands dollars,
1988,9,1,2,S88094,,20,NA,1,artica,
1988,9,1,4,S88096,10,5,NA,1,morues,
1988,9,1,4,S88096,41,100,NA,1,plies,
1988,9,1,4,S88096,598,2,NA,1,loches,
1988,9,1,4,S88096,4210,20,NA,1,bigorneaux,
1988,9,1,4,S88096,6200,NA,NA,1,ophiures,1 crate
1988,9,1,5,S88097,10,30,NA,1,morues,
1988,9,1,5,S88097,41,200,NA,1,plies,
1988,9,1,5,S88097,598,5,NA,1,loches,
1988,9,1,6,S88098,41,20,NA,1,plies,
1988,9,2,1,S88099,4310,25,NA,1,artica (vide),
1988,9,2,1,S88099,4320,5,NA,1,pétoncles d'islande,
1988,9,2,1,S88099,6400,NA,NA,1,oursins,5 crates
1988,9,2,1,S88099,6600,5,NA,1,holoturies,
1988,9,2,2,S88100,41,50,NA,1,plies,
1988,9,2,2,S88100,202,2,NA,1,raies,
1988,9,2,2,S88100,598,2,NA,1,loches,
1988,9,2,2,S88100,4200,NA,NA,1,mollusque de toute les sorte,
1988,9,2,2,S88100,6200,NA,NA,1,ophiures,
1988,9,2,2,S88100,6300,NA,NA,1,cornes de cerf,
1988,9,2,2,S88100,,NA,NA,1,grosse étoile,
1988,9,4,1,S88102,41,5,NA,1,plies,
1988,9,4,1,S88102,598,1,NA,1,loche,
1988,9,4,1,S88102,2520,5,NA,1,hyas,
1988,9,4,1,S88102,6200,NA,NA,1,ophiures,2 sceaux
1988,9,4,2,S88103,10,10,NA,1,morues,
1988,9,4,2,S88103,41,20,NA,1,plies,
1988,9,4,2,S88103,2520,2,NA,1,hyas,
1988,9,4,2,S88103,6200,NA,NA,1,ophiures,2 crates
1988,9,4,3,S88104,10,20,NA,1,morues,
1988,9,4,3,S88104,41,30,NA,1,plies,
1988,9,4,3,S88104,6200,NA,NA,1,ophiures,1 crate
1988,9,4,5,S88106,10,20,NA,1,morues,
1988,9,4,5,S88106,41,30,NA,1,plies,
1988,9,4,5,S88106,598,2,NA,1,loches,
1988,9,17,1,S88109,10,5,NA,1,morues,
1988,9,17,1,S88109,41,30,NA,1,plies,
1988,9,17,1,S88109,2520,10,NA,1,hyas,
1988,9,17,1,S88109,6300,50,NA,1,cornes de cerf,
1988,9,17,1,S88109,6400,200,NA,1,oursins,
1988,9,17,2,S88110,41,10,NA,1,plies,
1988,9,17,2,S88110,2520,10,NA,1,hyas,
1988,9,17,2,S88110,6300,50,NA,1,cornes de cerf,
1988,9,17,2,S88110,6600,1,NA,1,concombre de mer,
1988,9,17,3,S88111,2520,5,NA,1,hyas,
1988,9,17,3,S88111,6100,10,NA,1,étoiles de mer a plusieurs pattes,
1988,9,17,3,S88111,6300,5,NA,1,cornes de cerf,
1988,9,17,4,S88112,10,3,NA,1,morues,
1988,9,17,4,S88112,41,20,NA,1,plies,
1988,9,17,4,S88112,2520,5,NA,1,hyas,
1988,9,17,4,S88112,6400,50,NA,1,oursins,
1988,9,17,5,S88113,10,25,NA,1,morues,
1988,9,17,5,S88113,41,20,NA,1,plies,
1988,9,17,5,S88113,6100,10,NA,1,étoiles a plusieurs pattes,
1988,9,17,5,S88113,6400,100,NA,1,oursins,
1988,9,17,6,S88114,10,20,NA,1,morues,
1988,9,17,6,S88114,41,50,NA,1,plies,
1988,9,18,3,S88117,10,1,NA,1,morue,
1988,9,18,3,S88117,2520,5,NA,1,hyas,
1988,9,18,3,S88117,6400,10,NA,1,oursins,
1988,9,18,5,S88119,41,20,NA,1,plies,
1988,9,18,5,S88119,6400,50,NA,1,oursins,
1988,9,18,5,S88119,6500,20,NA,1,sand dollars,
1988,9,19,1,S88120,10,10,NA,1,morues,
1988,9,19,1,S88120,41,NA,NA,1,plies,1/2 crate
1988,9,19,1,S88120,4210,100,NA,1,bigorneaux,
1988,9,19,1,S88120,6200,NA,NA,1,ophiures,1 crate
1988,9,19,2,S88121,10,20,NA,1,morues,
1988,9,19,2,S88121,41,200,NA,1,plies,
1988,9,19,2,S88121,598,5,NA,1,loches,
1988,9,19,2,S88121,4210,100,NA,1,bigorneaux,
1988,9,19,2,S88121,6200,NA,NA,1,ophiures,1/2 crate
1988,9,19,3,S88122,41,200,NA,1,plies,
1988,9,19,4,S88123,10,20,NA,1,morues,
1988,9,19,4,S88123,41,50,NA,1,plies,
1988,9,19,4,S88123,2520,5,NA,1,hyas,
1988,9,19,4,S88123,6300,20,NA,1,cornes de cerf,
1988,9,19,5,S88124,10,10,NA,1,morues,
1988,9,19,5,S88124,41,50,NA,1,plies,
1988,9,19,5,S88124,598,5,NA,1,loches,
1988,9,26,1,S88125,10,3,NA,1,morues,
1988,9,26,1,S88125,41,25,NA,1,plies,
1988,9,26,1,S88125,60,2,NA,1,harengs,
1988,9,26,2,S88126,41,2,NA,1,plies,
1988,9,26,2,S88126,2520,5,NA,1,hyas,
1988,9,26,2,S88126,4320,2,NA,1,pétoncles d'islande,
1988,9,26,2,S88126,6400,NA,NA,1,oursins,1 crate
1988,9,26,3,S88127,10,1,NA,1,morue,
1988,9,26,3,S88127,4210,1,NA,1,bigorneau,
1988,9,26,3,S88127,6400,30,NA,1,oursins,
1988,9,27,1,S88128,42,20,NA,1,yellow tail,
1988,9,27,1,S88128,43,20,NA,1,plies rouge,
1988,9,27,1,S88128,2524,2,NA,1,rock crab,
1988,9,27,1,S88128,4210,3,NA,1,bigorneaux,
1988,9,27,1,S88128,4310,20,NA,1,clam(1 pleine),
1988,9,27,1,S88128,6500,NA,NA,1,sands dollars,3 crates
1988,9,27,2,S88129,2524,2,NA,1,rock crab,
1988,9,27,2,S88129,6300,2,NA,1,cornes de cerf,
1988,9,27,2,S88129,6400,20,NA,1,oursins,
1988,9,27,2,S88129,6600,1,NA,1,concombre de mer,
1988,9,27,3,S88130,2520,3,NA,1,hyas,
1988,9,27,3,S88130,6300,2,NA,1,cornes de cerf,
1988,9,27,3,S88130,6400,20,NA,1,oursins,
1988,9,27,3,S88130,6600,2,NA,1,concombre de mer,
1988,9,27,4,S88131,2520,1,NA,1,hyas,
1988,9,27,4,S88131,6400,5,NA,1,oursins,
1988,10,3,1,S88132,41,2,NA,1,plie rouge,
1988,10,3,1,S88132,320,1,NA,1,crapaud de mer,
1988,10,3,1,S88132,2520,5,NA,1,hyas,
1988,10,3,1,S88132,4321,4,NA,1,petoncle géante,
1988,10,3,1,S88132,6400,2,NA,1,oursins,
1988,10,3,1,S88132,,2,NA,1,terassier de roche,
1988,10,3,1,S88132,6600,5,NA,1,concombre,
1988,10,3,2,S88133,41,20,NA,1,plies rouge,
1988,10,3,2,S88133,60,2,NA,1,hareng,
1988,10,3,2,S88133,202,20,NA,1,raies,
1988,10,3,2,S88133,313,10,NA,1,téttard,
1988,10,3,2,S88133,2524,10,NA,1,rock crab,
1988,10,3,2,S88133,4321,20,NA,1,pétoncles géantes,
1988,10,3,2,S88133,6500,NA,NA,1,sand dollars,5 crates
1988,10,4,1,S88134,10,2,NA,1,morues,
1988,10,4,1,S88134,6100,1,NA,1,étoiles,
1988,10,4,2,S88135,10,200,NA,1,morues,
1988,10,4,2,S88135,2520,5,NA,1,hyas,
1988,10,4,2,S88135,6400,NA,NA,1,oursins,1/2 crate
1988,10,4,3,S88136,10,50,NA,1,morues,
1988,10,4,3,S88136,40,20,NA,1,plies canadiennes,
1988,10,4,3,S88136,598,1,NA,1,loche,
1988,10,4,3,S88136,2520,5,NA,1,hyas,
1988,10,4,3,S88136,6200,NA,NA,1,ophiures,1 sceau
1988,10,4,4,S88137,10,20,NA,1,morues,
1988,10,4,4,S88137,41,20,NA,1,plies,
1988,10,4,4,S88137,598,2,NA,1,loches,
1988,10,4,4,S88137,6200,NA,NA,1,ophiures,1/2 crate
1988,10,4,5,S88138,10,2,NA,1,morues,
1988,10,4,5,S88138,41,50,NA,1,plies,
1988,10,4,5,S88138,202,1,NA,1,raies,
1988,10,7,1,S88139,10,10,NA,1,morues,
1988,10,7,1,S88139,41,20,NA,1,plies,
1988,10,7,1,S88139,598,1,NA,1,loches,
1988,10,7,1,S88139,2520,10,NA,1,hyas,
1988,10,7,1,S88139,8600,5,NA,1,éponges(grosse en cone??),
1988,10,7,2,S88140,10,2,NA,1,morues,
1988,10,7,2,S88140,41,100,NA,1,plies,
1988,10,7,2,S88140,2520,3,NA,1,hyas,
1988,10,7,2,S88140,4210,10,NA,1,bigorneaux,
1988,10,7,2,S88140,6300,5,NA,1,cornes de cerf,
1988,10,7,3,S88141,10,20,NA,1,morues,
1988,10,7,3,S88141,41,50,NA,1,plies,
1988,10,7,3,S88141,4210,50,NA,1,bigorneaux,
1988,10,7,3,S88141,6300,10,NA,1,cornes de cerf,
1988,10,7,4,S88142,41,30,NA,1,plies,
1988,10,8,1,S88145,41,NA,NA,1,plies,1 crate
1988,10,8,1,S88145,4210,200,NA,1,bigorneaux,
1988,10,8,1,S88145,6200,NA,NA,1,ophiure,1 crate
1988,10,8,2,S88146,41,20,NA,1,plies,
1988,10,8,2,S88146,4210,50,NA,1,bigorneaux,
1988,10,8,4,S88148,41,5,NA,1,plies,
1988,10,8,4,S88148,6300,5,NA,1,cornes de cerf,
1988,10,8,4,S88148,6400,20,NA,1,oursins,
1988,10,8,5,S88149,41,20,NA,1,plies,
1988,10,8,5,S88149,598,1,NA,1,loches,
1988,10,8,5,S88149,2520,20,NA,1,hyas,
1988,10,8,5,S88149,6100,10,NA,1,étoiles a 32 brains,
1988,10,8,5,S88149,6300,50,NA,1,cornes de cerf,
1988,10,8,6,S88150,2520,5,NA,1,hyas,
1988,10,8,6,S88150,6300,3,NA,1,cornes de cerf,
1988,10,8,7,S88151,41,30,NA,1,plies,
1988,10,8,7,S88151,4210,NA,NA,1,bigorneaux,2 sceaux
