 03062006 19    3 0080038 2 68.5749.80 ****** 4 ** 1200000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080039 2 59.0442.20 ****** 4 ** 2400000000 ******1*** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080040 2 66.6844.52 ****** 4 ** 1400000000 ***1****** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080041 2 65.6446.66 ****** 4 ** 1400000000 *1**1***** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080042 2 77.0053.74 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080043 2 59.1140.23 ****** 4 ** 1400000000 ***1****** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080044 2 65.0142.46 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080045 2 59.4341.83 ****** 4 ** 2400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080046 2 71.2251.11 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080047 2 55.4339.16 ****** 4 ** 1400000000 ********1* LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080048 2 60.6740.44 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080049 2 70.3349.15 ****** 4 ** 2400000000 ***1***11* LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080050 2 61.6743.35 ****** 4 ** 1400000000 ******1*** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080051 2 63.4546.21 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080052 2 69.1750.71 ****** 4 ** 1400000000 *******1** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080053 2 55.3639.08 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080054 2 68.9546.80 ****** 4 ** 1400000000 *1***1***1 LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080055 2 52.9836.03 ****** 4 ** 2400000000 *****1**** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080056 2 64.0244.59 ****** 4 ** 1400000000 *11******* LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080057 2 69.1946.76 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080058 2 62.1441.92 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080059 2 75.6552.60 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080060 2 76.2349.62 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080061 2 60.6942.36 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080062 2 60.4641.01 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080063 2 67.0346.72 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080064 2 65.3143.83 ****** 4 ** 2400000000 1**1**1*** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080065 2 64.7545.36 ****** 4 ** 1400000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080066 2 22.41 8.19 ****** 1  1 **00000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
 03062006 19    3 0080067 2 24.8010.55 ****** 1  1 **00000000 ********** LL 04705123 06100894  50 **** ****       M HEBERT & C ALBERT   ***** *                
