 25091993 19    3 0040001 1    42***** ****** 1 ** **00000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040015 2    68   45 ****** 3M** 2400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040016 2    65   45 ****** 3M** 2400000000 *****1**** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040017 2    73   47 ****** 3M** 1400000000 *1*******1 LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040018 2    68   45 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040019 2    68   47 ****** 3M** 1400000000 ******1*** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040020 2    68   47 ****** 3M** 2400000000 ****1***** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040021 2    69   47 ****** 3M** *000000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040022 2    68   47 ****** 3M** 2400000000 *******1** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040023 2    62   42 ****** 3M** 2400000000 *****1**** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040024 2    65   44 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040025 2    60   40 ****** 3M** 2400000000 ***1****** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040026 2    60   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040027 2    61   42 ****** 3M** 1400000000 ****1***** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040028 2    60   41 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040029 2    56   38 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040030 2    62   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040031 2    62   42 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040032 2    68   44 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040033 2    67   47 ****** 3M** 2400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040034 2    61   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040035 2    66   43 ****** 3M** 1400000000 *****1**** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040036 2    54   36 ****** 3M** 2400000000 ****1***** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040037 2    55   39 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040038 2    57   37 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040039 2    66   42 ****** 3M** 1200000000 *1***1***1 LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040040 2    76   52 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040041 2    72   52 ****** 3M** 2400000000 1********* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040042 2    69   47 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040043 2    69   47 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040044 2    59   40 ****** 3M** 1400000000 **1**1**** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040045 2    72   49 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040046 2    65   44 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040047 2    53   37 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040048 2    60   40 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040049 2    50   33 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040050 2    62   42 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040051 2    65   44 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040052 2    62   42 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040053 2    65   47 ****** 3M** 1400000000 *********1 LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040054 2    67   45 ****** 3M** 1400000000 ******11** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040055 2    68   45 ****** 3M** 1400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040056 2    67   45 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040057 2    60   40 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040058 2    64   44 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040059 2    55   40 ****** 3M** 2400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040060 2    61   40 ****** 3M** 2400000000 1********* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040061 2    60   39 ****** 3M** 2400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040062 2    70   48 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040063 2    64   42 ****** 3M** 2400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040064 2    57   37 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040065 2    63   42 ****** 3M** 2400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040066 2    65   45 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040067 2    69   47 ****** 3M** 1400000000 **1******* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040068 2    70   50 ****** 3M** 2400000000 *1****1*1* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040069 2    67   44 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040070 2    68   47 ****** 3M** 2400000000 ****1***** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040071 2    67   45 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040072 2    57   40 ****** 3M** 2400000000 ******1*** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040073 2    69   47 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040074 2    64   43 ****** 3M** 1400000000 *********1 LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040075 2    62   42 ****** 3M** 2400000000 ********1* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040076 2    64   44 ****** 3M** 2400000000 ****1***** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040077 2    65   44 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040078 2    58   39 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040079 2    56   39 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040080 2    58   37 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040081 2    58   38 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040082 2    52   33 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040083 2    69   48 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040084 2    65   40 ****** 3M** 1100000000 *********1 LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040085 2    71   50 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040086 2    61   41 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040087 2    50   37 ****** 3M** 2400000000 ***1****1* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040088 2    73   48 ****** 3M** 2400000000 ****1***** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040089 2    69   47 ****** 3M** 2400000000 ***1****** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040090 2    66   46 ****** 3M** 2400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040091 2    71   47 ****** 3M** 1400000000 ******1**1 LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040092 2    55   38 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040093 2    58   38 ****** 3M** 2400000000 **1******* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040094 2    74   51 ****** 3M** 2400000000 ****1*1*** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040095 2    68   47 ****** 3M** 1400000000 ***11***** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040096 2    64   43 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040097 2    57   37 ****** 3M** 2400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040098 2    67   47 ****** 3M** 2400000000 *1****11** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040099 2    57   40 ****** 3M** 2400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040100 2    67   47 ****** 3M** 2400000000 ****1***** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040101 2    57   40 ****** 3M** 2400000000 *****1**** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040102 2    67   43 ****** 3M** 2400000000 ****1*11** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040103 2    56   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040104 2    57   40 ****** 3M** 1100000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040105 2    65   45 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040106 2    62   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040107 2    80   52 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040108 2    68   48 ****** 3M** 2400000000 ******1*** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040109 2    73   48 ****** 3M** 1400000000 ******1**1 LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040110 2    67   43 ****** 3M** 2400000000 ****1****1 LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040111 2    64   43 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040112 2    70   47 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040113 2    55   38 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040114 2    67   47 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040115 2    50   35 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040116 2    57   38 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040117 2    68   47 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040118 2    67   45 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040119 2    70   46 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040120 2    60   39 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040121 2    60   40 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040122 2    68   45 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040123 2    71   45 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040124 2    67   45 ****** 3M** 2400000000 *******1** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040125 2    60   40 ****** 3M** 1400000000 *******1** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040126 2    62   42 ****** 3M** 1400000000 ******1*** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040127 2    67   44 ****** 3M** 1400000000 ****1***** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040128 2    71   47 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040129 2    67   45 ****** 3M** *000000000 *1*****1** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040130 2    61   43 ****** 3M** 2400000000 *****1**** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040131 2    57   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040132 2    75   51 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040133 2    66   42 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040134 2    71   48 ****** 3M** 1400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040135 2    72   50 ****** 3M** 3400000000 *********1 LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040136 2    62   41 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040137 2    63   44 ****** 3M** 2400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040138 2    69   48 ****** 3M** 1400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040139 2    73   48 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040140 2    67   47 ****** 3M** 2400000000 *****1**** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040141 2    68   47 ****** 3M** 2400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040142 2    56   38 ****** 3M** 2400000000 ******1*** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040143 2    64   45 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040144 2    64   45 ****** 3M** 1400000000 *******111 LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040145 2    55   38 ****** 3M** 2400000000 ******1*** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040146 2    60   42 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040147 2    58   38 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040148 2    63   43 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040149 2    68   47 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040150 2    60   42 ****** 3M** 2400000000 ***1****** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040151 2    58   39 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040152 2    74   51 ****** 3M** 2400000000 ******1*1* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040153 2    61   40 ****** 3M** 2400000000 **1******* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040154 2    72   50 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040155 2    77   51 ****** 3M** 2400000000 *1******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040156 2    56   38 ****** 3M** 2400000000 **1******* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040157 2    72   50 ****** 3M** 1100000000 **1**1**** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040158 2    70   47 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040159 2    62   44 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040160 2    68   47 ****** 3M** 2400000000 ***1****** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040161 2    62   41 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040162 2    57   40 ****** 3M** 1400000000 ***1****** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040163 2    67   47 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040164 2    73   50 ****** 3M** 2400000000 ******1*** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040165 2    62   43 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040166 2    58   40 ****** 3M** 1400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040167 2    69   47 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040168 2    60   42 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040169 2    60   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040170 2    69   45 ****** 3M** 2400000000 *******1** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040171 2    65   43 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040172 2    58   40 ****** 3M** 1400000000 **1******* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040173 2    60   40 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040174 2    57   38 ****** 3M** 2400000000 ********** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040175 2    70   47 ****** 3M** 2400000000 1********* LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040176 2    60   40 ****** 3M** 2400000000 11******** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040177 2    68   48 ****** 3M** *000000000 *******1** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
 25091993 19    3 0040178 2    70   48 ****** 3M** 1100000000 ******1*** LC 014494.8 029093.7  47 **** ****       C.ALBERT/A.HEBERT     ***** *                
