 12092004 12    3 0060054 2 28.8912.15 ****** 1  1 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060055 2 43.2221.01 ****** 1  1 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060056 2 36.3517.50 ****** 1  1 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060057 2 36.2916.61 ****** 1  1 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060058 2 34.5515.86 ****** 1  1 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060059 2 34.1815.24 ****** 1  1 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060060 2 31.9814.16 ****** 1  1 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060061 2 35.1616.20 ****** 1  1 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060062 2 40.5819.74 ****** 1  1 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060063 2 39.1916.31 ****** 1  1 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060064 2 38.4817.94 ****** 1  1 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060065 2 35.9316.41 ****** 1  1 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060066 2 36.5016.17 ****** 1  1 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060067 2 36.8016.70 ****** 1  1 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060068 2 36.3515.00 ****** 1  1 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060069 2 27.7410.80 ****** 1  1 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060070 2 36.7516.39 ****** 1  1 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
 12092004 12    3 0060071 2 30.2813.58 ****** 1  1 **00000000 ********** LL 00462799 00612015  35 **** ****       C. ALBERT/S. ALBERT   ***** *                
