 01102004 19    3 0050049 1 29.09*****  4.64* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050050 1 32.65*****  4.11* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050051 1 27.69*****  3.82* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050052 1 29.78*****  3.35* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050053 1 26.54*****  3.85* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050054 1 27.88*****  3.58* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050055 1 25.37*****  3.62* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050056 1 27.07*****  3.57* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050057 1 26.57*****  3.65* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050058 1 29.60*****  4.43* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050059 1 54.81*****  9.49* 3 ** **00000000 *******12* LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050060 1 22.27*****  3.24* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050061 1 26.25*****  3.62* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050062 1 24.53*****  3.41* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050063 1 29.99*****  3.77* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050064 1 23.39*****  2.52* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050065 1 25.25*****  3.38* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050066 1 26.39*****  3.58* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050067 1 24.53*****  3.46* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050068 1 21.75*****  3.05* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050069 1 23.79*****  3.28* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050070 1 18.89*****  2.53* 1 ** **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050071 2 69.5646.36 ****** 2 ** 1400000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050072 2 49.7625.27 ****** 1  3 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050073 2 47.0423.49 ****** 1  3 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050074 2 48.4824.29 ****** 1  3 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050075 2 44.9122.02 ****** 1  1 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050076 2 51.6425.78 ****** 1  3 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050077 2 53.4726.63 ****** 1  3 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050078 2 49.4023.09 ****** 1  3 **00000000 **2******* LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050079 2 44.6622.11 ****** 1  3 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
 01102004 19    3 0050080 2 45.0421.69 ****** 1  3 **00000000 ********** LL 00463551 00612256  35 **** ****       S. ALBERT/C. ALBERT   ***** *                
