 05091995 18    3 0070001 1   110*****    27* 5 ** **00000000 ********** LC 014484.5 029251.8  33 * 77 ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070066 2    65   45 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070067 2    77   51 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070068 2    67   47 ****** 3 ** 1400000000 **1******* LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070069 2    72   48 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070070 2    71   48 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070071 2    71   47 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070072 2    69   46 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070073 2    67   46 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070074 2    74   53 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070075 2    72   48 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
 05091995 18    3 0070076 2    71   50 ****** 3 ** 1400000000 ********** LC 014484.5 029251.8  33 **** ****       S.ALBERT/C.ALBERT     ***** *                
