measurements::GPnum,measurements::Species,measurements::Measurement,measurements::Measurementnum,measurements::One hundred flag,measurements::One hundred message,measurements::dataentrybox Measure,measurements::Measurement transformed,measurements::Measurement comment,measurements::Datetime
GP018F,64,100.3mm,2,0,,,100.3,,2022-08-04 12:40:17
GP018F,64,94.5mm,3,0,,,94.5,,2022-08-04 12:40:20
GP018F,64,105.3mm,4,0,,,105.3,,2022-08-04 12:40:23
GP018F,64,104.7mm,5,0,,,104.7,,2022-08-04 12:40:28
GP018F,64,99.4mm,6,0,,,99.4,,2022-08-04 12:40:32
GP018F,64,107.0mm,7,0,,,107.0,,2022-08-04 12:40:36
GP018F,64,105.4mm,8,0,,,105.4,,2022-08-04 12:40:39
GP018F,64,102.6mm,9,0,,,102.6,,2022-08-04 12:40:42
GP018F,64,91.6mm,10,0,,,91.6,,2022-08-04 12:40:45
GP018F,64,97.7mm,11,0,,,97.7,,2022-08-04 12:40:48
GP018F,64,101.5mm,12,0,,,101.5,,2022-08-04 12:40:51
GP018F,64,98.7mm,13,0,,,98.7,,2022-08-04 12:40:54
GP018F,64,109.3mm,14,0,,,109.3,,2022-08-04 12:40:56
GP018F,64,113.6mm,15,0,,,113.6,,2022-08-04 12:40:59
GP018F,64,106.7mm,16,0,,,106.7,,2022-08-04 12:41:02
GP018F,64,124.4mm,17,0,,,124.4,,2022-08-04 12:41:05
GP018F,64,104.5mm,18,0,,,104.5,,2022-08-04 12:41:08
GP018F,64,104.9mm,19,0,,,104.9,,2022-08-04 12:41:10
GP018F,64,111.7mm,20,0,,,111.7,,2022-08-04 12:41:13
GP018F,64,101.1mm,21,0,,,101.1,,2022-08-04 12:41:16
GP018F,64,112.4mm,22,0,,,112.4,,2022-08-04 12:41:19
GP018F,64,133.3mm,23,0,,,133.3,,2022-08-04 12:41:22
GP018F,64,93.8mm,24,0,,,93.8,,2022-08-04 12:41:24
GP018F,64,93.6mm,25,0,,,93.6,,2022-08-04 12:41:27
GP018F,64,111.0mm,26,0,,,111.0,,2022-08-04 12:41:29
GP018F,64,102.0mm,27,0,,,102.0,,2022-08-04 12:41:32
GP018F,64,108.3mm,28,0,,,108.3,,2022-08-04 12:41:35
GP018F,64,96.2mm,29,0,,,96.2,,2022-08-04 12:41:37
GP018F,64,92.9mm,30,0,,,92.9,,2022-08-04 12:41:40
GP018F,64,111.5mm,31,0,,,111.5,,2022-08-04 12:41:43
GP018F,64,84.7mm,32,0,,,84.7,,2022-08-04 12:41:47
GP018F,64,108.2mm,33,0,,,108.2,,2022-08-04 12:41:50
GP018F,64,105.6mm,34,0,,,105.6,,2022-08-04 12:41:53
GP018F,64,100.7mm,35,0,,,100.7,,2022-08-04 12:41:56
GP018F,64,117.6mm,36,0,,,117.6,,2022-08-04 12:41:58
GP018F,64,119.9mm,37,0,,,119.9,,2022-08-04 12:42:01
GP018F,64,111.0mm,38,0,,,111.0,,2022-08-04 12:42:04
GP018F,64,141.6mm,39,0,,,141.6,,2022-08-04 12:42:07
GP018F,64,106.1mm,40,0,,,106.1,,2022-08-04 12:42:10
GP018F,64,107.5mm,41,0,,,107.5,,2022-08-04 12:42:13
GP018F,64,97.3mm,42,0,,,97.3,,2022-08-04 12:42:16
GP018F,64,107.3mm,43,0,,,107.3,,2022-08-04 12:42:19
GP018F,64,86.8mm,44,0,,,86.8,,2022-08-04 12:42:23
GP018F,64,90.7mm,45,0,,,90.7,,2022-08-04 12:42:27
GP018F,64,85.0mm,46,0,,,85.0,,2022-08-04 12:42:30
GP018F,64,100.5mm,47,0,,,100.5,,2022-08-04 12:42:34
GP018F,64,83.9mm,48,0,,,83.9,,2022-08-04 12:42:38
GP018F,64,88.3mm,49,0,,,88.3,,2022-08-04 12:42:41
GP018F,64,102.9mm,50,0,,,102.9,,2022-08-04 12:42:45
GP018F,64,100.0mm,51,0,,,100.0,,2022-08-04 12:42:48
GP018F,64,103.8mm,52,0,,,103.8,,2022-08-04 12:42:50
GP018F,64,121.9mm,53,0,,,121.9,,2022-08-04 12:42:53
GP018F,64,88.4mm,54,0,,,88.4,,2022-08-04 12:42:57
GP018F,64,101.9mm,55,0,,,101.9,,2022-08-04 12:43:01
GP018F,64,98.5mm,56,0,,,98.5,,2022-08-04 12:43:04
GP018F,64,104.0mm,57,0,,,104.0,,2022-08-04 12:43:07
GP018F,64,114.0mm,58,0,,,114.0,,2022-08-04 12:43:10
GP018F,64,107.7mm,59,0,,,107.7,,2022-08-04 12:43:14
GP018F,64,101.0mm,60,0,,,101.0,,2022-08-04 12:43:18
GP018F,64,110.2mm,61,0,,,110.2,,2022-08-04 12:43:21
GP018F,64,99.1mm,62,0,,,99.1,,2022-08-04 12:43:27
GP018F,64,91.9mm,63,0,,,91.9,,2022-08-04 12:43:31
GP018F,64,119.3mm,64,0,,,119.3,,2022-08-04 12:43:34
GP018F,64,82.8mm,65,0,,,82.8,,2022-08-04 12:43:37
GP018F,64,116.1mm,66,0,,,116.1,,2022-08-04 12:43:40
GP018F,64,108.4mm,67,0,,,108.4,,2022-08-04 12:43:43
GP018F,64,108.6mm,68,0,,,108.6,,2022-08-04 12:43:46
GP018F,64,91.4mm,69,0,,,91.4,,2022-08-04 12:43:49
GP018F,64,114.7mm,70,0,,,114.7,,2022-08-04 12:43:52
GP018F,64,110.9mm,71,0,,,110.9,,2022-08-04 12:43:55
GP018F,64,92.3mm,72,0,,,92.3,,2022-08-04 12:43:58
GP018F,64,95.6mm,73,0,,,95.6,,2022-08-04 12:44:03
GP018F,64,100.0mm,74,0,,,100.0,,2022-08-04 12:44:06
GP018F,64,92.5mm,75,0,,,92.5,,2022-08-04 12:44:10
GP018F,64,88.4mm,76,0,,,88.4,,2022-08-04 12:44:13
GP018F,64,107.4mm,77,0,,,107.4,,2022-08-04 12:44:16
GP018F,64,98.6mm,78,0,,,98.6,,2022-08-04 12:44:20
GP018F,64,100.7mm,79,0,,,100.7,,2022-08-04 12:44:23
GP018F,64,109.1mm,80,0,,,109.1,,2022-08-04 12:44:26
GP018F,64,105.1mm,81,0,,,105.1,,2022-08-04 12:44:31
GP018F,64,115.7mm,82,0,,,115.7,,2022-08-04 12:44:36
GP018F,64,109.5mm,83,0,,,109.5,,2022-08-04 12:44:39
GP018F,64,96.7mm,84,0,,,96.7,,2022-08-04 12:44:42
GP018F,64,89.9mm,85,0,,,89.9,,2022-08-04 12:44:46
GP018F,622,321.3mm,1,0,,,321.3,,2022-08-04 12:45:02
GP018F,10,168.3mm,1,0,,,168.3,,2022-08-04 12:45:18
GP018F,10,49.6mm,2,0,,,49.6,,2022-08-04 12:45:22
GP018F,10,47.0mm,3,0,,,47.0,,2022-08-04 12:45:26
GP018F,10,48.6mm,4,0,,,48.6,,2022-08-04 12:45:30
GP018F,10,26.5mm,5,0,,,26.5,,2022-08-04 12:45:35
GP018F,10,41.7mm,6,0,,,41.7,,2022-08-04 12:45:39
GP018F,632,96.3mm,1,0,,,96.3,,2022-08-04 12:45:57
GP018F,340,98.9mm,1,0,,,98.9,,2022-08-04 12:46:10
GP018F,340,88.4mm,2,0,,,88.4,,2022-08-04 12:46:13
GP018F,340,134.7mm,3,0,,,134.7,,2022-08-04 12:46:15
GP018F,340,79.3mm,4,0,,,79.3,,2022-08-04 12:46:18
GP018F,340,120.0mm,5,0,,,120.0,,2022-08-04 12:46:21
GP018F,340,132.7mm,6,0,,,132.7,,2022-08-04 12:46:23
GP018F,340,92.7mm,7,0,,,92.7,,2022-08-04 12:46:26
GP018F,340,106.7mm,8,0,,,106.7,,2022-08-04 12:46:28
GP018F,340,130.6mm,9,0,,,130.6,,2022-08-04 12:46:33
GP018F,340,116.9mm,10,0,,,116.9,,2022-08-04 12:46:36
GP018F,340,106.5mm,11,0,,,106.5,,2022-08-04 12:46:39
GP019F,302,163.2mm,1,0,,,163.2,,2022-08-04 11:34:26
GP019F,40,292.7mm,1,0,,,292.7,,2022-08-04 11:35:40
GP019F,40,214.1mm,2,0,,,214.1,,2022-08-04 11:35:48
GP019F,40,198.3mm,3,0,,,198.3,,2022-08-04 11:35:52
GP019F,40,218.6mm,4,0,,,218.6,,2022-08-04 11:35:55
GP019F,40,243.3mm,5,0,,,243.3,,2022-08-04 11:35:58
GP019F,40,177.7mm,6,0,,,177.7,,2022-08-04 11:36:01
GP019F,40,307.4mm,7,0,,,307.4,,2022-08-04 11:36:05
GP019F,40,214.0mm,8,0,,,214.0,,2022-08-04 11:36:08
GP019F,40,290.7mm,9,0,,,290.7,,2022-08-04 11:36:10
GP019F,40,245.9mm,10,0,,,245.9,,2022-08-04 11:36:13
GP019F,40,266.4mm,11,0,,,266.4,,2022-08-04 11:36:16
GP019F,40,273.5mm,12,0,,,273.5,,2022-08-04 11:36:19
GP019F,40,183.0mm,13,0,,,183.0,,2022-08-04 11:36:22
GP019F,40,276.3mm,14,0,,,276.3,,2022-08-04 11:36:25
GP019F,40,289.4mm,15,0,,,289.4,,2022-08-04 11:36:28
GP019F,40,183.1mm,16,0,,,183.1,,2022-08-04 11:36:30
GP019F,40,189.4mm,17,0,,,189.4,,2022-08-04 11:36:33
GP019F,40,298.9mm,18,0,,,298.9,,2022-08-04 11:36:37
GP019F,40,157.4mm,19,0,,,157.4,,2022-08-04 11:36:40
GP019F,40,245.2mm,20,0,,,245.2,,2022-08-04 11:36:43
