 06081990 12    3 0010001 2    48***** ****** 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** MANQUE ABDOMEN   
 06081990 12    3 0010055 2    53   35 ****** 2 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010056 2    52   35 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010057 2    60   39 ****** 1 ** 2400000000 **1******* LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010058 2    46   24 ****** 1  3 **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010059 2    54   35 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010060 1    59*****     9* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010061 1    64*****    10* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010062 1    69*****    11* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010063 1    63*****    10* 1 ** **00000000 ******1*** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010064 1    73*****    12* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010065 1    65*****    12* 2 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010066 1    63*****    11* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010067 1    57*****     9* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010068 2    56   36 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010069 2    58   37 ****** 1 ** 2400000000 ******1*** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010070 2    49   34 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010071 2    43   28 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010072 2    58   39 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010073 1    57*****    12* 2 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010074 2    49   25 ****** 1  3 **00000000 *11*1***** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010075 2    52   36 ****** 1 ** 2400000000 ***1**1*** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010076 2    49   33 ****** 2 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010077 2    58   38 ****** 1 ** 2400000000 *****1***1 LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010078 2    58   38 ****** 1 ** 2400000000 *1******** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010079 2    58   38 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010080 1    88*****    20* 2 ** **00000000 ****1**1** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010081 1    73*****    13* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010082 1    90*****    20* 2 ** **00000000 **1****1*1 LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010083 2    51   34 ****** 1 ** 2400000000 1**1*****1 LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010084 2    52   36 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010085 2    58   38 ****** 1 ** 2400000000 ******1*** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010086 1    72*****    14* 2 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010087 2    51   26 ****** 1  3 **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010088 2    55   39 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010089 1    62*****    10* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010090 1    69*****    11* 1 ** **00000000 **1******* LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010091 1    67*****    10* 1 ** **00000000 ****1***** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010092 1    80*****    14* 2 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010093 1    94*****    24* 2 ** **00000000 *******1** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010094 2    48   33 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010095 2    51   36 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010096 2    53   35 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010097 1    58*****    11* 2 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010098 1    70*****    11* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010099 2    52   35 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010100 2    45   31 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010101 2    50   35 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010102 1    64*****    10* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010103 1    57*****     9* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010104 1    48*****     8* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010105 1    50*****     8* 1 ** **00000000 *********1 LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010106 2    52   35 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010107 1    47*****     7* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010108 1    60*****    10* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010109 1    51*****     8* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010110 2    45   24 ****** 1  3 **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010111 1    52*****     8* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010112 2    50   32 ****** 2 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010113 2    57   38 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010114 2    50   34 ****** 2 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010115 1    65*****    10* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010116 2    54   36 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010117 2    56   38 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010118 2    54   37 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010119 2    55   36 ****** 1 ** 2400000000 ******1*** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010120 2    54   37 ****** 1 ** 2400000000 *11***1*** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010121 2    60   41 ****** 1 ** 2400000000 *******1** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010122 2    57   40 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010123 2    55   38 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010124 2    55   37 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010125 2    47   31 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010126 1    53*****     8* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010127 1    66*****    11* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010128 1    54*****     9* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010129 2    53   35 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010130 1    58*****     9* 1 ** **00000000 ****2**2** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010131 1    47*****     7* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010132 2    48   33 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010133 2    47   32 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010134 1    47*****     6* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010135 1    58*****    10* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010136 1    53*****     8* 1 ** **00000000 ***1****** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010137 1    57*****     9* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010138 1    55*****     9* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010139 2    47   22 ****** 1  2 **00000000 1*1**11*** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010140 2    50   34 ****** 1 ** 2400000000 *11*1****1 LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010141 2    44   30 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010142 2    57   38 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010143 1    44*****     7* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010144 2    45   31 ****** 1 ** 2400000000 ***2****1* LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010145 2    45   21 ****** 1  3 **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010146 2    47   24 ****** 1  3 **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010147 2    55   38 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010148 2    55   35 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010149 1    77*****    14* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010150 1    64*****    10* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010151 1    79*****    15* 3 ** **00000000 ******1*1* LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010152 1    63*****    10* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010153 1    57*****    10* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010154 1    42*****     6* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010155 2    52   33 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010156 2    56   40 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010157 2    62   43 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010158 2    57   38 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010159 2    46   31 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010160 2    53   34 ****** 2 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010161 2    43   22 ****** 1  2 **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010162 2    47   32 ****** 1 ** 2400000000 *****1**** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010163 2    58   38 ****** 1 ** 2400000000 *******1** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010164 1    45*****     7* 1 ** **00000000 *****2**** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010165 1    43*****     6* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010166 2    51   35 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010167 2    51   35 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010168 2    55   40 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010169 2    58   40 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010170 2    66   44 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010171 2    53   38 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010172 2    47   23 ****** 1  3 **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010173 1    81*****    17* 2 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010174 2    59   39 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010175 2    61   40 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010176 1    66*****    13* 2 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010177 2    60   41 ****** 1 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010178 1    71*****    12* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010179 1    61*****    10* 1 ** **00000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010180 2    49   33 ****** 2 ** 2400000000 ********** LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
 06081990 12    3 0010181 2    56   38 ****** 1 ** 2400000000 ********1* LC 014859.1 029737.9  40 **** ****       D. GIONET/C. ALBERT   ***** *                
