 08081990 12    3 0020121 1    72*****    15* 2 ** **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020122 2    64   44 ****** 1 ** 2400000000 *******1** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020123 2    52   33 ****** 1 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020124 2    43   27 ****** 3 ** 4400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020125 2    50   34 ****** 1 ** 2400000000 *1******** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020126 1    67*****    13* 1 ** **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020127 2    46   30 ****** 3 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020128 2    54   35 ****** 1 ** 2400000000 *2******** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020129 2    46   31 ****** 3 ** 4400000000 **1****1** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020130 1    83*****    19* 2 ** **00000000 *1****1*** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020131 2    43   29 ****** 3 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020132 1    45*****     7* 1 ** **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020133 2    50   34 ****** 3 ** 2400000000 *1****1*** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020134 2    59   40 ****** 2 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020135 1    66*****    14* 2 ** **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020136 1    76*****    17* 2 ** **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020137 2    63   42 ****** 1 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020138 1    52*****     8* 1 ** **00000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020139 2    44   28 ****** 1 ** 2400000000 *2******** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020140 2    45   29 ****** 2 ** 2400000000 ******11** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020141 2    53   33 ****** 3 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020142 2    55   38 ****** 3 ** 4400000000 **1*1***1* LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020143 2    57   39 ****** 1 ** 2400000000 ********1* LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020144 2    54   39 ****** 1 ** 2400000000 ****1**11* LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020145 2    48   32 ****** 2 ** 2400000000 *1*****111 LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020146 2    45   29 ****** 2 ** 2400000000 ***1****** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
 08081990 12    3 0020147 2    46   32 ****** 3 ** 2400000000 ********** LC 014900.8 029766.7  47 **** ****       D. GIONET/C. ALBERT   ***** *                
