Year,Month,Day,townumber,towid,species,numbercaught,weightcaught,presence,english,latin,french,species.logbook,comment
1990,6,23,3,14,6500,NA,NA,1,Sand dollar unspecified,Clypeasteroida (ord.),Clypéastre non spécifié,dollars de sable,
1990,6,23,4,15,10,40,NA,1,Atlantic cod,Gadus morhua,Morue franche,morue,
1990,6,23,4,15,35,1,NA,1,Hake,Merluccius sp.,Merlus,barbue,
1990,6,23,4,15,41,30,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie grise,
1990,6,23,4,15,598,6,NA,1,Eelpouts (ns),Zoarcidae f.,Lycodes,loche,
1990,6,23,4,15,6200,NA,NA,1,Brittle star unspecified,Ophiuroidea (subcl. / infracl.),Ophiure  non spécifié,ophiure,
1990,6,23,5,16,801,1,NA,1,Snakefish,Trachinocephalus myops,Poisson-lézard paille,pas dans le logbook,
1990,6,23,5,16,4320,NA,NA,1,Scallops,Pectinidae f.,Pétoncles,pétoncle d'islande,
1990,6,23,5,16,6200,NA,NA,1,Brittle star unspecified,Ophiuroidea (subcl. / infracl.),Ophiure  non spécifié,ophiure,
1990,6,23,5,16,,30,NA,1,,,,plie grise,
1990,6,23,5,16,,6,NA,1,,,,morue,
1990,6,23,5,16,,2,NA,1,,,,loche,
1990,6,23,5,16,,1,NA,0,,,,lompénie,
1990,6,23,5,16,,NA,NA,1,,,,oursin,
1990,6,23,5,16,6500,NA,NA,1,Sand dollar unspecified,Clypeasteroida (ord.),Clypéastre non spécifié,dollars de sable,
1990,6,23,6,17,10,10,NA,1,Atlantic cod,Gadus morhua,Morue franche,morue,
1990,6,23,6,17,35,1,NA,1,Hake,Merluccius sp.,Merlus,barbue,
1990,6,23,6,17,41,15,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie grise,
1990,6,23,6,17,273,1,NA,1,Trouts,Salmo sp.,Saumons atlantiques,pas dans le logbook,
1990,6,23,6,17,801,1,NA,1,Snakefish,Trachinocephalus myops,Poisson-lézard paille,pas dans le logbook,
1990,6,23,6,17,4320,NA,NA,1,Scallops,Pectinidae f.,Pétoncles,pétoncle d'islande,
1990,6,23,6,17,6200,NA,NA,1,Brittle star unspecified,Ophiuroidea (subcl. / infracl.),Ophiure  non spécifié,ophiure,
1990,6,23,6,17,6400,NA,NA,1,Sea urchin,Strongylocentrotus sp.,Oursin,oursin,
1990,6,23,6,17,,1,NA,1,,,,lompénie,
1990,6,23,6,17,,1,NA,1,,,,truite de mer,
1990,6,23,7,18,,20,NA,1,,,,plie,
1990,6,23,7,18,,6,NA,1,,,,loche,
1990,6,23,7,18,,10,NA,1,,,,morue,
1990,6,23,7,18,,NA,NA,1,,,,oursin,
1990,6,23,7,18,,NA,NA,1,,,,éponge,
1990,6,23,7,18,,NA,NA,1,,,,ophiure,
1990,6,23,8,19,,NA,NA,1,,,,oursin,un peu
1990,6,23,8,19,,NA,NA,1,,,,dollars de sable,un peu
1990,6,23,9,20,,NA,NA,1,,,,oursin,beaucoup
1990,6,23,9,20,,NA,NA,1,,,,dollars de sable,beaucoup
1990,6,23,9,20,,40,NA,1,,,,plie,
1990,6,23,9,20,,20,NA,1,,,,morue,
1990,6,23,9,20,,4,NA,1,,,,barbue,
1990,6,23,9,20,,25,NA,1,,,,hyas,
1990,6,23,9,20,,NA,NA,1,,,,ophiure,
1990,6,23,9,20,,NA,NA,1,,,,balane,
1990,6,25,1,21,10,15,NA,1,Atlantic cod,Gadus morhua,Morue franche,morue,
1990,6,25,1,21,41,15,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie grise,
1990,6,25,1,21,2520,10,NA,1,Toad crab;unident.,Hyas sp.,Crabes lyre,hyas,
1990,6,25,1,21,4210,NA,NA,1,Whelk unspecified,Buccinum sp.,Buccin non spécifié,bigorneau,
1990,6,25,1,21,4310,NA,NA,1,Bivalve clams unspecified,Cryptodonta (sup. Ord.),Bivalves palourde non spécifié,palourde,
1990,6,25,1,21,6100,NA,NA,1,Starfish unspecified (Class),Asteroidea (cl.),Étoile de mer non spécifiée (Classe),étoille de mer,
1990,6,25,1,21,6200,NA,NA,1,Brittle star unspecified,Ophiuroidea (subcl. / infracl.),Ophiure  non spécifié,ophiure,
1990,6,25,1,21,6400,NA,NA,1,Sea urchin,Strongylocentrotus sp.,Oursin,oursin,
1990,6,25,1,21,6500,NA,NA,1,Sand dollar unspecified,Clypeasteroida (ord.),Clypéastre non spécifié,dollars de sable,
1990,6,25,2,22,10,1,NA,1,Atlantic cod,Gadus morhua,Morue franche,morue,
1990,6,25,2,22,41,12,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie grise,
1990,6,25,2,22,60,1,NA,1,Atlantic herring,Clupea harengus,Hareng atlantique,hareng  ,
1990,6,25,2,22,598,6,NA,1,Eelpouts (ns),Zoarcidae f.,Lycodes,loche,
1990,6,25,2,22,2520,8,NA,1,Toad crab;unident.,Hyas sp.,Crabes lyre,hyas,
1990,6,25,2,22,2990,NA,NA,1,Barnacle unspecified,Cirripedia (subcl. / infracl.),Balane non spécifié,balane,
1990,6,25,2,22,4310,NA,NA,1,Bivalve clams unspecified,Cryptodonta (sup. Ord.),Bivalves palourde non spécifié,palourde,
1990,6,25,2,22,6200,NA,NA,1,Brittle star unspecified,Ophiuroidea (subcl. / infracl.),Ophiure  non spécifié,ophiure,
1990,6,25,2,22,6400,NA,NA,1,Sea urchin,Strongylocentrotus sp.,Oursin,oursin,
1990,6,25,3,23,41,6,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie,
1990,6,25,3,23,313,1,NA,1,Twohorn sculpin,Icelus bicornis,Icèle à deux cornes,pas dans le logbook,
1990,6,25,3,23,598,2,NA,1,Eelpouts (ns),Zoarcidae f.,Lycodes,loche,
1990,6,25,3,23,2520,20,NA,1,Toad crab;unident.,Hyas sp.,Crabes lyre,hyas,
1990,6,25,3,23,2800,1,NA,1,Amphipoda o.,Amphipoda o.,Amphipodes,pou de mer,
1990,6,25,3,23,6100,3,NA,1,Starfish unspecified (Class),Asteroidea (cl.),Étoile de mer non spécifiée (Classe),grosse étoile de mer,
1990,6,25,3,23,6400,NA,NA,1,Sea urchin,Strongylocentrotus sp.,Oursin,oursin,beaucoup
1990,6,25,3,23,,1,NA,1,,,,chaboisseau bronzé,
1990,6,25,4,24,10,20,NA,1,Atlantic cod,Gadus morhua,Morue franche,morue,
1990,6,25,4,24,41,30,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie,
1990,6,25,4,24,598,4,NA,1,Eelpouts (ns),Zoarcidae f.,Lycodes,loche,
1990,6,25,4,24,2800,3,NA,1,Amphipoda o.,Amphipoda o.,Amphipodes,pou de mer,
1990,6,25,4,24,4320,NA,NA,1,Scallops,Pectinidae f.,Pétoncles,pétoncle,
1990,6,25,4,24,6100,NA,NA,1,Starfish unspecified (Class),Asteroidea (cl.),Étoile de mer non spécifiée (Classe),étoile de mer,
1990,6,25,4,24,6200,NA,NA,1,Brittle star unspecified,Ophiuroidea (subcl. / infracl.),Ophiure  non spécifié,ophiure,
1990,6,25,4,24,6400,NA,NA,1,Sea urchin,Strongylocentrotus sp.,Oursin,oursin,
1990,6,25,5,25,10,7,NA,1,Atlantic cod,Gadus morhua,Morue franche,morue,
1990,6,25,5,25,41,20,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie grise,
1990,6,25,5,25,202,3,NA,1,Smooth skate,Malacoraja senta,Raie lisse,raie,
1990,6,25,5,25,598,4,NA,1,Eelpouts (ns),Zoarcidae f.,Lycodes,loche,
1990,6,25,5,25,6200,NA,NA,1,Brittle star unspecified,Ophiuroidea (subcl. / infracl.),Ophiure  non spécifié,ophiure,beaucoup
1990,6,25,5,25,,NA,NA,1,,,,oursin,
1990,6,25,6,26,41,50,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie grise,
1990,6,25,6,26,598,1,NA,1,Eelpouts (ns),Zoarcidae f.,Lycodes,loche,
1990,6,25,6,26,801,3,NA,1,Snakefish,Trachinocephalus myops,Poisson-lézard paille,pas dans le logbook,
1990,6,25,6,26,2520,5,NA,1,Toad crab;unident.,Hyas sp.,Crabes lyre,hyas,
1990,6,25,6,26,2800,7,NA,1,Amphipoda o.,Amphipoda o.,Amphipodes,puce de mer,
1990,6,25,6,26,6200,NA,NA,1,Brittle star unspecified,Ophiuroidea (subcl. / infracl.),Ophiure  non spécifié,ophiure,beaucoup
1990,6,25,6,26,6400,NA,NA,1,Sea urchin,Strongylocentrotus sp.,Oursin,oursin,beaucoup
1990,6,25,6,26,,3,NA,1,,,,lompénie,
1990,6,25,7,27,35,1,NA,1,Hake,Merluccius sp.,Merlus,barbue,
1990,6,25,7,27,41,15,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie grise,
1990,6,25,7,27,202,5,NA,1,Smooth skate,Malacoraja senta,Raie lisse,raie,
1990,6,25,7,27,598,3,NA,1,Eelpouts (ns),Zoarcidae f.,Lycodes,loche,
1990,6,25,7,27,2520,10,NA,1,Toad crab;unident.,Hyas sp.,Crabes lyre,hyas,
1990,6,25,7,27,4210,NA,NA,1,Whelk unspecified,Buccinum sp.,Buccin non spécifié,bigorneau,
1990,6,25,7,27,6200,NA,NA,1,Brittle star unspecified,Ophiuroidea (subcl. / infracl.),Ophiure  non spécifié,ophiure,beaucoup
1990,6,25,7,27,6500,NA,NA,1,Sand dollar unspecified,Clypeasteroida (ord.),Clypéastre non spécifié,dollars de sable,beaucoup
1990,6,25,7,27,,NA,NA,1,,,,oursin,
1990,6,27,1,28,10,8,NA,1,Atlantic cod,Gadus morhua,Morue franche,morue,
1990,6,27,1,28,41,15,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie,
1990,6,27,1,28,598,1,NA,1,Eelpouts (ns),Zoarcidae f.,Lycodes,loche,
1990,6,27,1,28,801,2,NA,1,Snakefish,Trachinocephalus myops,Poisson-lézard paille,pas dans le logbook,
1990,6,27,1,28,2520,40,NA,1,Toad crab;unident.,Hyas sp.,Crabes lyre,hyas,
1990,6,27,1,28,2990,3,NA,1,Barnacle unspecified,Cirripedia (subcl. / infracl.),Balane non spécifié,balane,
1990,6,27,1,28,4210,NA,NA,1,Whelk unspecified,Buccinum sp.,Buccin non spécifié,bigorneau,
1990,6,27,1,28,6100,10,NA,1,Starfish unspecified (Class),Asteroidea (cl.),Étoile de mer non spécifiée (Classe),étoile de mer,
1990,6,27,1,28,6400,NA,NA,1,Sea urchin,Strongylocentrotus sp.,Oursin,oursin,beaucoup
1990,6,27,1,28,,2,NA,1,,,,lompénie,
1990,6,27,2,29,10,8,NA,1,Atlantic cod,Gadus morhua,Morue franche,morue,
1990,6,27,2,29,41,10,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie grise,
1990,6,27,2,29,2520,20,NA,1,Toad crab;unident.,Hyas sp.,Crabes lyre,hyas,
1990,6,27,2,29,4210,NA,NA,1,Whelk unspecified,Buccinum sp.,Buccin non spécifié,bigorneau,
1990,6,27,2,29,6100,NA,NA,1,Starfish unspecified (Class),Asteroidea (cl.),Étoile de mer non spécifiée (Classe),pelotte de mer(espece d'étoile de mer),beaucoup
1990,6,27,4,31,10,5,NA,1,Atlantic cod,Gadus morhua,Morue franche,morue,
1990,6,27,4,31,41,20,NA,1,Witch flounder,Glyptocephalus cynoglossus,Plie grise,plie grise,
1990,6,27,4,31,60,NA,NA,1,Atlantic herring,Clupea harengus,Hareng atlantique,hareng  ,
1990,6,27,4,31,598,2,NA,1,Eelpouts (ns),Zoarcidae f.,Lycodes,loche,
1990,6,27,4,31,2520,15,NA,1,Toad crab;unident.,Hyas sp.,Crabes lyre,hyas,
1990,6,27,4,31,4210,NA,NA,1,Whelk unspecified,Buccinum sp.,Buccin non spécifié,bigorneau,
1990,6,27,4,31,6200,NA,NA,1,Brittle star unspecified,Ophiuroidea (subcl. / infracl.),Ophiure  non spécifié,ophiure,
1990,6,27,4,31,6400,NA,NA,1,Sea urchin,Strongylocentrotus sp.,Oursin,oursin,
1990,6,27,4,31,8600,NA,NA,1,Sponge unspecified,Porifera (phy.),Éponge  non spécifiée,éponge,
1990,6,27,5,32,10,2,NA,1,Atlantic cod,Gadus morhua,Morue franche,morue,
