 30072009 12    3 0040064 2 35.2916.03 ****** 1  1 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040065 2 44.5021.75 ****** 1  1 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040066 2 34.4114.74 ****** 1  1 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040067 2 41.2919.26 ****** 1  1 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040068 2 30.0412.42 ****** 1  1 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040069 2 24.57 9.10 ****** 1  1 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040070 2 30.9413.14 ****** 1  1 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040071 2 20.17 6.29 ****** 1  1 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040072 2 20.38 7.23 ****** 1  1 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040073 2 17.09 6.34 ****** 1  1 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040074 2 19.35 6.11 ****** 1  1 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *                
 30072009 12    3 0040075 2 19.77 6.41 ****** 1  1 **00000000 ********** LL 04700174 06343361  26 **** ****       J. CHIASSON/S. ALBERT ***** *               
