 31072009 12    3 0130048 2 59.9540.97 ****** 4 ** 2400000000 *********1 LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130049 2 76.1950.08 ****** 4 ** 2400000000 ***1****** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130050 2 62.9243.98 ****** 4 ** 2400000000 ********** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130051 2 68.2645.56 ****** 4 ** 2400000000 *****1**** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130052 2 65.9544.72 ****** 3 ** 2400000000 ********** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130053 2 69.1847.62 ****** 3 ** 2400000000 **1******* LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130054 2 57.9340.12 ****** 3 ** 2400000000 ********** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130055 2 59.8544.14 ****** 3 ** 2400000000 **1***1*** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130056 2 56.4838.76 ****** 3 ** 2400000000 ***1****** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130057 2 68.5146.31 ****** 3 ** 2400000000 ********** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130058 2 67.8047.11 ****** 3 ** 2400000000 ********** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130059 2 52.8225.78 ****** 1  3 **00000000 ********** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130060 2 52.6825.75 ****** 1  3 **00000000 ********** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130061 2 56.2329.01 ****** 1  3 **00000000 ********** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130062 2 60.0230.94 ****** 1  3 **00000000 ********** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130063 2 51.0125.64 ****** 1  3 **00000000 ***1****** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130064 2 50.9026.03 ****** 1  3 **00000000 ********** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130065 2 51.3826.71 ****** 1  3 **00000000 ********** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130066 2 51.9326.55 ****** 1  3 **00000000 ********** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130067 2 52.6427.19 ****** 1  3 **00000000 ********** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130068 2 45.1421.49 ****** 1  3 **00000000 ********** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130069 2 49.6223.99 ****** 1  3 **00000000 ********** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *                
 31072009 12    3 0130070 2 39.4018.89 ****** 1  3 **00000000 ********** LL 04656043 06231930  36 **** ****       J. CHIASSON/S. ALBERT ***** *               
